iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,12.9659275,3.03251607738877,228,100,0,0,1,1,Ar,1,1,2,0,926.926624981747,2.43593500000001,3.350165,49.37773965104,35.2744957599999,28.071945955,121.1805916,163.206337526667,643.238551608981,1668.56706270286,753.841900000691,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,8.98825316666663,1.49,158.645,78,3,19,2,4,G,2,1,2,0,1188.62554165231,1,1.93112666666667,107.835055206836,37.07542366,39.3355376800001,178.68066832,205.92707226,772.306721758546,787.501544639404,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,4.60223000000005,1.28767421235023,188.25635,88,1,11,2,2,G,1,1,1,0,843.70358329768,3.6290975,3.179915,38.5559418212525,24.1588310574999,26.5145995199999,95.2959662600006,126.124341481191,526.721803959677,576.512255118987,1661.06104999995,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,28.0146221666668,4.06883398391143,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,117.477448724038,100.51359033,38.7517526200002,243.995892573998,319.14029492,1003.06112355635,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,14.4190016666667,4.27355502166383,203.968055,100,0,0,1,1,G,2,1,1,0,1100.16474999306,2.60311333333333,2.047215,106.603243264241,102.85476636,32.6696841400001,241.563014753997,321.030172233367,856.986757578391,1571.56014774329,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.58873962123601,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.88436,132.337209771096,112.26904,40.4693514300001,277.304401779999,357.927303625867,1084.80896434432,959.621331758572,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.40455597691832,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.962505,121.899024212203,112.26904,39.1677748700001,252.908603020698,332.394285843367,1045.3588073114,686.906959108607,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.35357176463978,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.93775,124.534938790808,112.26904,38.8445158300001,255.404483640698,335.294023523367,1050.34810147771,865.574758793481,1011.418,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.43254881467975,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.977665,120.791098066798,112.26904,38.2829484100001,247.479725400698,328.420158921667,1047.73125114474,598.257401690664,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,12.6560883333334,2.97443604921668,196.018645,100,0,0,1,1,G,3,1,1,0,1379.79125000292,2.52315166666666,2.02145,108.935470847621,101.09313053,31.6555776400001,247.111001757997,325.807148413367,884.100471289051,1889.9725408369,300,0.392533231193529
Abrocoma vaccarum,Abrocoma vaccarum,Rodentia,221.82,12.755,3.57957617593842,201,100,0,0,1,1,G,1,1,2,0,395.416666545,1.995,1.812565,133.585749607486,112.26904,41.6179335500001,291.960447771999,365.649190308368,1088.66715542451,970.199759265787,0,0.463026930148831
Abrothrix andinus,Abrothrix andinus,Rodentia,34.65,2.80418499999999,0.788747334150007,140,70,0,30,2,2,G,2,2,1,0,876.304166657418,4.38474500000001,3.258555,26.6354765386249,23.2480358624998,21.9543199600001,71.4003142599999,97.5431862199997,409.318144850709,1111.7312675997,2275.179,0.166779492006714
Abrothrix illutea,Abrothrix illutea,Rodentia,47.79,3.19916000000003,0.858598338839296,140,44,1,55,2,2,G,1,2,1,0,995.29720833455,4.27757104166667,3.40458,28.0260690587899,23.6788908199998,23.1146572400001,72.1643216999998,98.221775413333,450.929196509284,851.770086277159,1800,0.199040398287332
Abrothrix jelskii,Abrothrix jelskii,Rodentia,34.5,2.83083500000001,0.768010489427006,140,70,0,30,2,2,G,4,2,1,0,941.477958331265,4.28871500000001,3.345805,27.16328002793,23.2621973924998,21.6831503600001,69.6001484,96.8463013799997,409.508620625738,1138.84735082478,2800,0.166382010386797
Abrothrix lanosus,Abrothrix lanosus,Rodentia,25.915,2.63942999999996,0.753376258025351,140,55,0,45,2,2,G,2,2,1,0,882.046833311551,4.34381333333333,3.25142,27.148585085955,23.4753296874997,21.44973442,70.73256608,97.5313168733332,391.312657809096,1318.30107279089,2290.896,0.142153982952647
Abrothrix longipilis,Abrothrix longipilis,Rodentia,185,3.145,1.59728073809234,159.67,11,0,89,2,2,G,4,2,2,0,1079.90724999708,4.845,4,22.734428325,21.90196,21.51041946,63.00252,112.3,505.77047581248,1381.66666666667,2033.398,0.419035016261043
Abrothrix olivaceus,Abrothrix olivaceus,Rodentia,27,2.33213879999994,0.805429697525762,125.563333333333,11,0,89,2,2,G,3,2,2,0,365,5.42,2.25,45.7199159245851,24.8665243724999,24.15635071,191.716,154.85575514,508.616736576073,1815,2010.627,0.145397163981597
Abrothrix sanborni,Abrothrix sanborni,Rodentia,24.7,2.79823499999998,0.832124339986152,155,44,0,56,2,2,G,1,2,1,0,954.146499999635,3.65076,3.446595,29.8164077939224,24.5122301599999,24.59059356,76.2211181199999,108.748957063333,440.277693325709,1170.13439137901,800,0.138448797988912
Acerodon celebensis,Acerodon celebensis,Chiroptera,384.84,58.6243399999997,5.04727586967288,201.25,100,0,0,1,1,Ar,2,1,2,0,4160.4187372124,0.98,1.55897,281.650343308722,155.104303319998,143.999354071429,669.496608093333,815.387474620003,2272.02680891672,621.686059931216,1500,NA
Acerodon humilis,Acerodon humilis,Chiroptera,352.43,41.18718615,4.24465100716816,209.41198,100,0,0,1,1,Ar,1,1,2,0,4541.06306964796,1.024475,1.90283,252.229416347274,136.52562732,107.673974753333,300.451185986667,405.723255557501,1685.65070235122,618.967421283927,1046.174,NA
Acerodon jubatus,Acerodon jubatus,Chiroptera,1087.04,90.7717509999995,8.92307646514892,285.147650000001,100,0,0,1,1,Ar,1,1,2,0,7161.35475012666,1,1,374.376982352289,166.267165944999,151.492209300001,711.022211840006,871.981682980001,3650,508.636341931567,1100,NA
Acerodon leucotis,Acerodon leucotis,Chiroptera,352.07,39.39255615,4.0827593108656,202.133235000001,100,0,0,1,1,Ar,1,1,2,0,3536.2545696881,1.03054,1.917755,248.870452006689,133.81746278,97.2527520733333,297.503173706667,396.911853197501,1460,697.435208446666,1134.46,NA
Acerodon mackloti,Acerodon mackloti,Chiroptera,467.93,49.3785944666666,5.00143549184748,206.56996,100,0,0,1,1,Ar,2,1,2,0,4341.36414160139,0.98,1.7073,264.317207240099,152.971241579999,124.0043475,500.111879993333,629.7841441375,1825,646.439093250206,450,NA
Acinonyx jubatus,Acinonyx jubatus,Carnivora,50577.92,465.33,115.01219047619,1490.215,0,100,0,3,1,G,4,3,1,0,7482.5,3.04,0.7,541.878849985,90.12,107,598.985,1217.27,2190,0.0214569720825,4000,44.4482052554175
Acomys airensis,Acomys airensis,Rodentia,45.2,5.49,1.12669838042342,175,0,0,100,3,1,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,696.275716216832,3165.70232277268,972.674049999952,1.4253817359899
Acomys cahirinus,Acomys cahirinus,Rodentia,45.2,5.49,0.76,175,70,30,0,2,2,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,103,650.0125,1900,1242.57421904758,0.193033197411528
Acomys cilicicus,Acomys cilicicus,Rodentia,48,43.5530992999998,1.10454392682043,175,70,30,0,2,2,G,2,2,1,0,1460,2.83302166666667,3.5843,42.03983564715,34.811877845,21.12224343,78.9272458800001,110.104639373333,621.106863633605,1756.622370999,1175.48686666671,0.199520969217352
Acomys cineraceus,Acomys cineraceus,Rodentia,43.6,5.49,1.025484791789,129.87,0,0,100,3,1,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,697.801205516746,3168.00766643445,932.095938888841,1.40043106650438
Acomys dimidiatus,Acomys dimidiatus,Rodentia,45.2,5.49,1.04941585213302,175,80,0,20,2,2,G,5,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,687.642796850072,3682.87115782389,900,0.193033197411528
Acomys ignitus,Acomys ignitus,Rodentia,45.2,5.49,1.21659672497566,175,70,30,0,3,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,698.437519400087,3126.98748293964,1105.60955000001,1.4253817359899
Acomys johannis,Acomys johannis,Rodentia,43.6,5.49,1.04586362655823,129.87,0,0,100,3,1,G,3,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,700.135314766745,3159.35679143445,800,1.40043106650438
Acomys kempi,Acomys kempi,Rodentia,43.6,5.49,1.20357891315748,175,70,30,0,3,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,698.200826750087,3119.87216317774,1102.29955000001,1.40043106650438
Acomys louisae,Acomys louisae,Rodentia,27.085,13.4614483833333,8.95155481574941,175,70,30,0,3,2,G,3,2,1,0,2411.51059166946,2.63717000000002,2.747985,78.2253362229804,36.4200611999998,32.4458370700002,165.0696211847,184.077257557533,974.564949319209,591.928750489853,1495.55750238096,1.10904837086166
Acomys minous,Acomys minous,Rodentia,45.2,5.49,1.00512173265391,175,70,30,0,1,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,684.383450450043,3133.10118337222,1150.61477332116,0.193033197411528
Acomys mullah,Acomys mullah,Rodentia,45.2,5.49,1.21659672497566,175,70,30,0,3,2,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,698.437519400087,3126.98748293964,1105.60955000001,1.4253817359899
Acomys nesiotes,Acomys nesiotes,Rodentia,45.2,5.49,0.984027578031666,175,70,30,0,2,2,G,1,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,686.781403166685,2929.73162928849,1080.05803998779,0.193033197411528
Acomys percivali,Acomys percivali,Rodentia,21.99,13.3554345666667,8.45822289604643,171.99888625,70,30,0,3,2,G,3,2,1,0,2339.25397500401,2.41323166666668,2.991035,74.0818692228203,38.65372,30.5521322300001,163.2315979247,183.832428907534,959.753891127508,798.798990638487,1477.15455000001,1.00139108109496
Acomys russatus,Acomys russatus,Rodentia,54.915,7,1.09088906790174,111.08,40,40,20,3,3,G,1,2,1,0,1825,2.5,4.00818000000001,43.7445672342852,34.39268,20.4793774,91.308,125.70068,670.735034575217,2800,803.111150000155,1.56805734365507
Acomys seurati,Acomys seurati,Rodentia,45.2,5.49,1.13892255937386,175,0,0,100,3,1,G,2,2,1,0,2731.416666545,2.47,3.5,33.976728355,38,14,58,96,698.186964850089,2836.59879919295,1000,1.4253817359899
Acomys ngurui,Acomys spinosissimus,Rodentia,27.01,44.8108519999999,1.3590526807447,175,70,30,0,3,2,G,1,2,1,0,1517.01908332725,2.71,3.522075,44.1271234853551,34.5810962975,25.9191088800002,99.7053235000001,131.23734661,650.899525750246,331.041666666667,750,1.10754250609798
Acomys selousi,Acomys spinosissimus,Rodentia,27.01,13.76565755,9.18038110792785,175,70,30,0,3,2,G,3,2,1,0,2536.52005000255,2.71,2.751515,78.4317390816404,36.2471660874998,32.4135670100002,166.7396524047,183.838540877533,990.361469635822,331.041666666667,1620.31850238096,1.10754250609798
Acomys muzei,Acomys spinosissimus,Rodentia,27.01,14.0444628833333,9.28710494267441,175,70,30,0,3,2,G,2,2,1,0,2537.87055000146,2.71,2.739755,78.2321815344504,36.5258594399998,33.1354682000002,165.8093685847,184.816024177533,999.977950285779,331.041666666667,1312.03450238096,1.10754250609798
