iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,14.14171763,2.81557619,228,100,0,0,1,1,Ar,1,1,2,0,984.961625,2.116846667,4.24493,47.44265258,37.52676129,26.17714546,120.3225433,157.0125362,654.696722,2296.471493,770.92595,0.513878211
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,10.27701033,1.49,158.645,78,3,19,2,3,G,2,1,2,0,811.075625,1,3.1678,66.03002818,33.95456182,32.19196252,119.8959225,150.2727722,691.0700933,826.8775121,1700,0.221175907
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,5.33975,1.311107571,175.561225,88,1,11,2,2,G,1,1,1,0,974.2260625,3.9614775,3.04273,44.27529445,24.73312479,25.95939433,97.66909336,124.8956866,546.8611467,893.8432679,1581.617,0.231688912
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,56.07972317,3.964254657,250,100,0,0,1,1,G,2,1,2,0,851.6666665,3,2,118.5348373,99.71890184,36.914392,239.9561821,311.9768983,977.2321964,102.5,4000,0.511141748
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,12.18952,3.009477974,198.789425,100,0,0,1,1,G,2,1,1,0,1227.18475,2.658796667,1.989475,107.5115878,98.87945202,31.55381022,238.6345283,315.0010244,846.5312981,1569.57716,470,0.38420876
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.376821494,201,100,0,0,1,1,G,2,1,2,0,395.4166665,1.995,1.855155,131.5445327,112.26904,43.18086455,288.8413326,360.2390919,1143.882783,980.9972898,0,0.46302693
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.329849091,201,100,0,0,1,1,G,2,1,2,0,395.4166665,1.995,1.90319,119.9810379,112.26904,40.04218676,263.135898,335.1711015,1064.410062,780.3167022,1300,0.46302693
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.296536508,201,100,0,0,1,1,G,2,1,2,0,395.4166665,1.995,1.9038,119.4965398,112.26904,40.06457034,267.4473486,335.7165795,1057.22388,908.51988,1002.623,0.46302693
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.279038943,201,100,0,0,1,1,G,2,1,2,0,395.4166665,1.995,1.975335,117.6930942,112.26904,39.43813668,241.4526968,316.3754993,1034.578855,700.3592348,1800,0.46302693
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,13.51947967,3.232935336,202.661835,100,0,0,1,1,G,3,1,1,0,1530.958737,2.555141667,1.92007,110.9977393,100.5630902,33.33944902,253.2689577,330.102739,928.6205584,2146.832686,300,0.392533231
Abrocoma vaccarum,Abrocoma vaccarum,Rodentia,221.82,12.755,3.368340147,201,100,0,0,1,1,G,1,1,2,0,395.4166665,1.995,1.8442,131.4893355,112.26904,43.10422767,290.3490119,358.6049343,1135.233969,967.8648904,0,0.46302693
Abrothrix andinus,Abrothrix andinus,Rodentia,34.65,2.627165,0.826465214,140,70,0,30,2,2,G,2,2,1,0,1180.476917,4.523535,3.452705,29.6378451,23.54730515,25.48680556,81.74272506,107.7237907,484.6309329,874.609546,1977.351,0.166779492
Abrothrix illutea,Abrothrix illutea,Rodentia,47.79,3.368815,0.972754883,140,44,1,55,2,2,G,1,2,1,0,1154.674458,3.964491667,3.375975,37.39610121,25.95733679,26.20663859,84.45429054,116.0027796,537.9797576,713.6664552,1800,0.199040398
Abrothrix jelskii,Abrothrix jelskii,Rodentia,34.5,2.548705,0.8056097,140,70,0,30,2,2,G,4,2,1,0,1177.797208,4.415646667,3.352135,29.87523251,23.52209688,25.2981087,81.99202534,108.728482,479.1164454,1016.210267,2800,0.16638201
Abrothrix lanosus,Abrothrix lanosus,Rodentia,25.915,2.613435,0.927648149,140,55,0,45,2,2,G,2,2,1,0,1069.346583,4.271405,3.28728,36.53385676,25.18580234,26.11396637,95.55210428,122.3595108,536.8384502,1110.41188,1298.609333,0.142153983
Abrothrix longipilis,Abrothrix longipilis,Rodentia,185,3.145,1.520669624,159.67,11,0,89,2,2,G,4,2,2,0,1145.3335,4.845,4,22.73442833,21.90196,22.20875031,63.00252,112.3,533.0334831,1381.666667,2007.25205,0.419035016
