iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,13.1318641333334,3.06185668591279,228,100,0,0,1,1,Ar,1,1,2,0,782.121999974081,2.02755166666668,2.31851000000001,88.4409065391804,37.720416025,32.30719178,162.7336991,198.357842079999,732.39950333362,1216.00177712076,1022.6424000001,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,30.0844009,1.49,158.645,78,3,19,2,3,G,2,1,2,0,1362.19824999416,1,1.896935,104.982145796246,39.8175538825,41.1182751600001,218.4942565467,229.177598218033,806.150574516716,915.917865715984,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,4.56906500000015,1.1358715901069,167.5576225,88,1,11,2,2,G,1,2,1,0,1009.88808335828,3.71673500000002,3.18040999999999,33.0852188896098,27.26619637,20.5998731200001,81.1873442800005,108.757261293334,505.195945592149,704.529642304768,1279.9085,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,30.2563775000001,4.38044889311789,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,117.002671134978,98.6752062999998,36.9753658200002,232.383096063999,304.4415438475,971.749263217485,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,12.4163560000001,3.20347424318299,199.92236,100,0,0,1,1,G,2,1,1,0,1071.50616665413,2.53040166666666,2.034215,106.855503411816,100.10963433,32.42848428,233.456953045998,314.9324369975,845.781466549683,1587.74868840492,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.35873559073743,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.86769,130.009496674876,112.26904,40.1986248600002,277.645524531999,350.465530857501,1063.17616265016,1126.71266696671,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.24770236890811,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.95715,119.318729458523,112.26904,35.8616074300001,232.360644313999,315.520862648334,1000.8085010999,817.968470462527,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.28084426924292,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.896575,125.022093046796,112.26904,37.1659706400001,267.668418751999,341.595435180001,1026.87586358321,956.835229916834,781.909333333333,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.23695688002553,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.9426,117.355424190693,112.26904,35.9219707800002,239.247331373999,319.53645374,995.64609033359,800.552930261639,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,12.3633150000001,3.10797344423078,198.60369,100,0,0,1,1,G,3,1,1,0,1404.93640416289,2.43820833333332,2.00516,108.653925844471,99.76941031,32.2289125700001,243.044494545998,322.187563517501,846.164691882997,1668.63943754043,300,0.392533231193529
