iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,37.5942990777779,3.39614706401938,228,100,0,0,1,1,Ar,1,1,2,0,783.813166634056,2.10578333333335,3.945025,55.5171945648875,35.3595694999999,26.89659178,129.7899097267,163.841381903334,643.929123925507,1724.96494240687,951.022650000393,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,29.9548146499999,1.49,158.645,78,3,19,2,3,G,2,1,2,0,844.956749981383,1,3.31332,61.7823683103098,36.6181452788888,32.19131038,116.64428542,140.89398226,675.439346167557,944.650007430054,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,4.8248150000001,1.22949074562415,169.67453,88,1,11,2,2,G,1,2,1,0,774.280583318123,3.82121250000002,3.771225,44.6434472826449,26.4445531699999,26.1895631900001,94.3593398600004,123.599541821667,562.707342575855,535.175652352887,1239.09204999995,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,24.8321841666668,4.03919942762615,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,108.702463149728,96.1620416299999,41.0573856600002,234.965445995998,305.1271164367,1027.21920580064,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,12.0620850000001,3.1396305641597,199.96334,100,0,0,1,1,G,2,1,1,0,1103.87558334879,2.54215166666666,2.20379,93.2209674868045,90.3503911900003,31.1977273000001,220.121345099997,297.07424308,849.697795299886,1299.13430081033,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.43978771855771,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.950265,112.577996750286,112.26904,43.0915796800001,248.186065673998,330.1005849725,1103.41478344386,961.138380075844,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.37909649535863,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,2.02435,105.837103804671,112.26904,41.0899556800001,225.956438975998,302.818153475,1066.44343477822,675.119662445145,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.34466337593333,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,2.00822,106.357002711078,112.26904,40.8201781400001,226.959168715998,304.26457933,1059.30691301127,715.380846041765,1282.44766666667,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.33988399623631,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,2.015005,104.827210513031,112.26904,40.0918840400001,229.529245435998,304.092272435,1053.20514202856,636.46832563369,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,12.3197800000001,3.11193496290351,200.00357,100,0,0,1,1,G,3,1,1,0,1433.8781666837,2.57640166666666,2.22632,96.2113942495795,92.3733816600003,31.1825154800001,221.720184907997,297.48257534,854.499626074075,1689.776518286,300,0.392533231193529
Abrocoma vaccarum,Abrocoma vaccarum,Rodentia,221.82,12.755,3.44352925086433,201,100,0,0,1,1,G,1,1,2,0,395.416666545,1.995,1.881365,121.099125360061,112.26904,45.1760528000001,272.711750699999,349.9887768725,1142.7003637604,912.815558540531,0,0.463026930148831
Abrothrix andinus,Abrothrix andinus,Rodentia,34.65,2.52940500000002,0.799836329441829,140,70,0,30,2,2,G,2,2,1,0,1240.89658336193,4.19947666666668,3.286725,30.6700606128949,22.4124394524999,25.4929819000001,80.8641457000001,108.784891583,478.067826808721,1451.56262121018,1491.251,0.166779492006714
Abrothrix illutea,Abrothrix illutea,Rodentia,47.79,3.28565500000007,0.958659095293173,140,44,1,55,2,2,G,1,2,1,0,1063.03208337982,3.81784999999999,3.21426,38.9687440621299,25.6554605099999,25.41520331,85.8240848400004,116.814808720001,542.560881500624,778.908467172173,1800,0.199040398287332
Abrothrix jelskii,Abrothrix jelskii,Rodentia,34.5,2.48120000000001,0.768222114152263,140,70,0,30,2,2,G,4,2,1,0,1332.73362503067,4.33915666666668,3.318925,30.90038537117,22.5765565024999,22.2020515000001,62.7972172400002,95.5035444500001,468.182907433518,1774.67621669698,2800,0.166382010386797
Abrothrix lanosus,Abrothrix lanosus,Rodentia,25.915,2.34993999999999,0.770335102407429,140,55,0,45,2,2,G,2,2,1,0,1186.92525003213,4.04643166666668,3.212525,31.9690858553499,22.9817004224999,25.6127297300001,82.2461680200002,111.164245744667,474.481982683691,1264.07885561403,1383.27,0.142153982952647
