iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,12.6001586666667,2.85994091816783,228,100,0,0,1,1,Ar,1,1,2,0,1400.2616666618,2.31358750000001,3.78079,55.5835490940203,35.3019013599999,27.96800474,123.10721142,170.74475983,653.79509860042,2994.2924053083,902.629200000525,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,25.1776383333332,1.49,158.645,78,3,19,2,3,G,2,1,2,0,1124.8569999843,1,2.91842,61.9709537903252,35.9261388499999,32.70372432,133.2653772067,166.18500307,719.603093633749,855.057650552691,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,5.07712500000015,1.26542804520189,175.305815,88,1,11,2,2,G,1,2,1,0,1085.51608336156,3.48901500000003,2.96107499999998,37.8949395398598,28.21869179,23.4460286,97.2089932800004,127.005616222667,572.296967325405,738.554940652619,1174.522,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,25.6704625000001,4.10475231071575,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,119.318696552683,101.30237184,38.5258291900001,253.049453044665,325.0832731775,996.248074601741,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,12.0003433333334,3.01667601412134,197.843605,100,0,0,1,1,G,2,1,1,0,1066.32924996897,2.44569333333332,1.874135,118.387792428331,103.89132692,34.4959902000001,266.951674139998,340.6874631242,900.275798228332,1298.55112320456,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.32004688530441,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.85271,120.036335793191,112.26904,37.0926290600001,283.533009039999,344.9904064375,1020.63287694538,993.638466446444,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.10817730006554,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.890445,119.058305679521,112.26904,37.4801697400001,264.185861445999,337.653076855,1028.35489627843,781.428823752422,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.07826107423119,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.92127,115.346318132663,112.26904,34.9575771600001,262.722294685998,336.569634395,1011.23291812838,945.22204303941,1152.08933333333,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.08504562158315,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.94274,113.098859211798,112.26904,35.3519698400001,255.824511785998,330.2340555375,1005.51046389002,805.244969262426,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,12.0678666666668,2.97678515180859,195.404655,100,0,0,1,1,G,3,1,1,0,1343.65016666034,2.45168999999998,1.83394,123.750813782129,102.37598357,34.7052965200001,280.040908599999,353.4727918267,914.559126929014,1493.81394222704,300,0.392533231193529
Abrocoma vaccarum,Abrocoma vaccarum,Rodentia,221.82,12.755,3.34871485892659,201,100,0,0,1,1,G,1,1,2,0,395.416666545,1.995,1.8571,121.480666181491,112.26904,36.4053470800001,286.166440659999,347.68074702,1023.98328864535,997.43544259072,0,0.463026930148831
Abrothrix andinus,Abrothrix andinus,Rodentia,34.65,2.91975500000002,0.85459453325476,140,70,0,30,2,2,G,2,2,1,0,831.105000028474,3.79202499999999,3.767905,28.8401914512099,24.5305798399999,24.2568805300001,89.1916303800002,120.5260034,451.963972142177,875.030465717368,1640.654,0.166779492006714
