iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,13.1445593333333,2.69083819522199,228,100,0,0,1,1,Ar,1,1,2,0,1229.83099999708,2.21636083333334,3.860325,56.0678024210804,35.7340200699999,27.1450527,127.85534654,163.5603473,657.95751501744,2582.49014047291,919.590400000334,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,8.80257899999996,1.49,158.645,78,3,19,2,3,G,2,1,2,0,850.571666651942,1,1.945,101.672917397736,35.95745516,36.0204293,166.7160349867,194.292989156666,722.453025683996,1379.8461925667,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,3.71363500000014,0.98747176010076,149.97884,88,1,11,2,2,G,1,2,1,0,1198.61133335116,3.66605916666669,3.15438,30.0886463148699,24.618550915,26.46154107,82.0559648600001,107.40178646,488.612650483908,639.145458797625,1592.138,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,22.8076341666668,4.24029660124906,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,118.286152862466,97.2548441099999,42.2844575400001,242.301942355999,306.170817661701,1032.71064548881,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,11.61564415,2.9647677500438,193.8781575,100,0,0,1,1,G,2,1,1,0,1241.77258335426,2.69746499999999,2.093685,101.213028465636,95.5617778000003,32.7224058400001,221.726741111997,303.0168024425,844.009145593741,1470.86906120044,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,6.36509825975344,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.869665,135.164473715018,112.26904,47.6070684500001,290.261101103999,362.827055240001,1110.89907092612,896.124476122874,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.26393460531858,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.88953,125.264569476686,112.26904,43.1212895900001,268.461123433999,339.303989617501,1077.79795455113,654.846349525394,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.24658142278535,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.881265,125.441443330551,112.26904,43.1168150900001,270.125131093999,340.6812525575,1080.37114135116,723.107716509521,1270.92,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.18627183412176,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,2.00514,118.417153717446,112.26904,39.7698842600002,234.015887551998,313.722889697501,1046.29242973483,661.061429078359,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,11.77384415,3.01793469006575,195.41264,100,0,0,1,1,G,3,1,1,0,1479.64004168918,2.73499333333332,2.027715,104.593289949956,95.4636536300003,33.4913861600001,225.929805485997,303.633547557501,852.346154177027,1654.12990167933,300,0.392533231193529
