order,family,genus,species,iucn2020_binomial,phylacine_binomial,adult_mass_g,brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,female_maturity_d,male_maturity_d,age_first_reproduction_d,gestation_length_d,teat_number,litter_size_n,litters_per_year,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_size,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_fish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,dissected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n
Rodentia,Muridae,Abditomys,latidens,Abditomys latidens,Abditomys latidens,Amniotes,imputed,Amniotes,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,imputed,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Muridae,Abeomelomys,sevia,Abeomelomys sevia,Abeomelomys sevia,Amniotes,Tsuboi et al. (2018),Amniotes,NA,imputed,NA,imputed,NA,imputed,imputed,PanTHERIA,Amniotes,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Cricetidae,Abrawayaomys,chebezi,Abrawayaomys chebezi,Not recognised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,NA,NA,NA,NA,IUCN,calculated
Rodentia,Cricetidae,Abrawayaomys,ruschii,Abrawayaomys ruschii,Abrawayaomys ruschii,Amniotes,imputed,imputed,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,Botero et al. (2013),imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,imputed,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,bennettii,Abrocoma bennettii,Abrocoma bennettii,Amniotes,imputed,Amniotes,NA,Amniotes,NA,imputed,NA,imputed,imputed,NA,Amniotes,Amniotes,imputed,NA,imputed,NA,imputed,calculated,TetraDENSITY,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,boliviensis,Abrocoma boliviensis,Abrocoma boliviensis,Amniotes,imputed,imputed,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,budini,Abrocoma budini,Abrocoma budini,Amniotes,imputed,Amniotes,NA,Amniotes,NA,imputed,NA,imputed,Amniotes,NA,Amniotes,imputed,imputed,Amniotes,imputed,NA,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,imputed,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,cinerea,Abrocoma cinerea,Abrocoma cinerea,Amniotes,imputed,Amniotes,NA,Amniotes,NA,imputed,NA,imputed,Amniotes,NA,Amniotes,imputed,imputed,Amniotes,imputed,NA,imputed,calculated,NA,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,famatina,Abrocoma famatina,Abrocoma famatina,Amniotes,imputed,Amniotes,NA,Amniotes,NA,imputed,NA,imputed,Amniotes,NA,Amniotes,imputed,imputed,Amniotes,imputed,NA,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,imputed,IUCN,IUCN,IUCN,IUCN,NA,IUCN,NA,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,shistacea,Abrocoma shistacea,Abrocoma shistacea,Amniotes,imputed,Amniotes,NA,Amniotes,NA,imputed,NA,imputed,Amniotes,NA,Amniotes,imputed,imputed,Amniotes,imputed,NA,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,imputed,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,uspallata,Abrocoma uspallata,Abrocoma uspallata,Pacifici et al. (2013),imputed,imputed,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,imputed,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Abrocomidae,Abrocoma,vaccarum,Abrocoma vaccarum,Abrocoma vaccarum,Amniotes,imputed,Amniotes,NA,Amniotes,NA,imputed,NA,imputed,Amniotes,NA,Amniotes,imputed,imputed,Amniotes,imputed,NA,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Cricetidae,Abrothrix,andinus,Abrothrix andinus,Abrothrix andinus,Amniotes,imputed,Amniotes,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,Buckley et al. (2018),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Cricetidae,Abrothrix,illutea,Abrothrix illutea,Abrothrix illutea,Amniotes,imputed,Amniotes,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,Botero et al. (2013),imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Cricetidae,Abrothrix,jelskii,Abrothrix jelskii,Abrothrix jelskii,Amniotes,imputed,Amniotes,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Cricetidae,Abrothrix,lanosus,Abrothrix lanosus,Abrothrix lanosus,Amniotes,imputed,Amniotes,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,Botero et al. (2013),imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Cricetidae,Abrothrix,longipilis,Abrothrix longipilis,Abrothrix longipilis,Amniotes,imputed,Amniotes,NA,imputed,PanTHERIA,Amniotes,NA,PanTHERIA,Amniotes,NA,Amniotes,Amniotes,Amniotes,Amniotes,imputed,Amniotes,imputed,calculated,TetraDENSITY,Buckley et al. (2018),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Cricetidae,Abrothrix,manni,Abrothrix manni,Not recognised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calculated
Rodentia,Cricetidae,Abrothrix,olivaceus,Abrothrix olivaceus,Abrothrix olivaceus,Amniotes,imputed,Amniotes,NA,Amniotes,PanTHERIA,Amniotes,NA,imputed,imputed,NA,Amniotes,Amniotes,imputed,NA,imputed,NA,imputed,calculated,TetraDENSITY,Botero et al. (2013),PanTHERIA,PanTHERIA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Rodentia,Cricetidae,Abrothrix,sanborni,Abrothrix sanborni,Abrothrix sanborni,Amniotes,imputed,Amniotes,NA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,calculated,NA,Botero et al. (2013),imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,Acerodon celebensis,Amniotes,imputed,Amniotes,PanTHERIA,imputed,NA,imputed,NA,imputed,imputed,NA,Amniotes,imputed,imputed,NA,imputed,NA,imputed,imputed,NA,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,Acerodon humilis,Amniotes,imputed,imputed,PanTHERIA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,NA,PHYLACINE,NA,NA,IUCN,calculated
Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,Acerodon jubatus,Amniotes,imputed,imputed,PanTHERIA,imputed,NA,imputed,NA,imputed,imputed,NA,Amniotes,Amniotes,imputed,NA,imputed,NA,Pacifici et al. (2013),imputed,NA,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,Acerodon leucotis,Amniotes,imputed,imputed,PanTHERIA,imputed,NA,imputed,NA,imputed,imputed,NA,imputed,imputed,imputed,NA,imputed,NA,Pacifici et al. (2013),imputed,NA,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,NA,IUCN,NA,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,Acerodon mackloti,Amniotes,imputed,imputed,PanTHERIA,imputed,NA,imputed,NA,imputed,imputed,NA,Amniotes,imputed,imputed,NA,imputed,NA,Pacifici et al. (2013),imputed,NA,Botero et al. (2013),PanTHERIA,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,Botero et al. (2013),PHYLACINE,Botero et al. (2013),Botero et al. (2013),IUCN,calculated
Carnivora,Felidae,Acinonyx,jubatus,Acinonyx jubatus,Acinonyx jubatus,Amniotes,Tsuboi et al. (2018),Amniotes,NA,Amniotes,PanTHERIA,Amniotes,Amniotes,Pacifici et al. (2013),Amniotes,PanTHERIA,Amniotes,Amniotes,Amniotes,Amniotes,Amniotes,Amniotes,Pacifici et al. (2013),calculated,TetraDENSITY,Heldstab et al. (2018),PanTHERIA,PanTHERIA,NA,PHYLACINE,PHYLACINE,PHYLACINE,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,EltonTraits,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,IUCN,calculated,NA,PHYLACINE,NA,NA,IUCN,calculated
Rodentia,Muridae,Acomys,airensis,Acomys airensis,Acomys airensis,Amniotes,imputed,Amniotes,NA,Amniotes,mean of female and male (Amniotes),Amniotes,Amniotes,calculated,Amniotes,NA,Amniotes,Amniotes,Amniotes,Amniotes,Amniotes,Amniotes,imputed,calculated,NA,imputed,imputed,NA,NA,PHYLACINE,PHYLACINE,PHYLACINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imputed,MammalDIET2,EltonTraits,EltonTraits,IUCN,IUCN,IUCN,IUCN,IUCN,NA,NA,NA,PHYLACINE,NA,NA,IUCN,calculated
