iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,12.9909189333334,2.73446459912594,228,100,0,0,1,1,Ar,1,1,2,0,1119.1325833236,2.59620041666667,4.161155,49.4442641028203,34.3116601149999,26.7010004642858,111.4409738,157.47793428,631.913278753403,3016.28578024767,842.172150001347,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,9.12561506666661,1.49,158.645,78,3,19,2,3,G,2,1,2,0,1430.31333333163,1,2.11372,100.242167745106,35.86499392,38.2199442800001,171.95415286,200.962328614,718.094494542058,1122.13656828377,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,4.43900350000015,1.09597056147882,163.62598,88,1,11,2,2,G,1,1,1,0,1109.50875003066,4.14850500000003,3.74228999999998,32.4185205209648,28.8877869800001,19.67506092,74.8026570200003,101.697209353333,516.75746952539,653.732887976577,1336.557,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,23.3948663333334,3.94584302231226,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,112.759082702691,98.8576020099999,37.7010885000002,246.666182049998,319.426920195,1005.42573671161,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,12.3488650000001,2.82807252790606,191.814355,100,0,0,1,1,G,2,1,1,0,1090.86637500986,2.765253,2.32164,98.9725607266658,95.2707435600002,30.5931412600001,227.979562169997,305.85490634,803.078378199957,1625.65339713543,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.23071398955066,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.81851,128.913987027019,112.26904,40.7847473400001,284.352764705998,359.983394140001,1116.37610545016,1071.30324267715,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.07826996086458,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.861745,121.077927035144,112.26904,37.6206733400002,264.107448645998,340.670867475001,1060.02883686714,1006.822371316,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.08312377682183,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.85838,121.899334426064,112.26904,37.9809853000001,263.224639545998,340.301914535001,1058.69141708387,1110.92414185777,1002.00733333333,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.0567852183979,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.959375,111.671922346431,112.26904,33.8793661200001,234.575444767998,309.9121828075,991.810852594657,905.689535511488,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,12.3655083333334,2.8748453118274,196.31947,100,0,0,1,1,G,3,1,1,0,1391.91533334039,2.64690633333333,2.135085,102.913964402806,95.7853691700001,30.7707848000001,238.232421807997,309.965330135,834.861922583213,2022.83300575467,300,0.392533231193529
