iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Abditomys latidens,Abditomys latidens,Rodentia,268.09,14.1445950166667,2.79908838491763,228,100,0,0,1,1,Ar,1,1,2,0,965.741333311187,2.35464666666668,4.054535,48.0017820902101,34.4285341599999,25.9522074799999,120.37766874,165.489236036667,650.172691242121,2600.13819391935,951.67955000025,0.513878210811532
Abeomelomys sevia,Abeomelomys sevia,Rodentia,57.89,8.35931871666662,1.49,158.645,78,3,19,2,3,G,2,1,2,0,1496.27795833272,1,2.204935,100.635918629031,37.67260864,40.3790242400001,187.11453095,218.450174575,807.998375297582,922.447965056848,1700,0.221175907316228
Abrawayaomys ruschii,Abrawayaomys ruschii,Rodentia,62.99,4.22218850000015,1.05526173506387,158.76766,88,1,11,2,2,G,1,2,1,0,1129.67195835098,4.23188375000001,3.37950499999999,26.6118277181398,24.6824280774998,19.5464833000001,64.4101379400003,94.56742094,493.194729942076,688.613005291796,1929.816,0.231688911850838
Abrocoma bennettii,Abrocoma bennettii,Rodentia,265.5,25.3063408333334,4.22824162832397,250,100,0,0,1,1,G,2,1,2,0,851.666666545,3,2,118.408741196533,99.0857956099997,40.5795234100001,240.223917261998,322.168789692501,1018.51110861812,102.5,4000,0.511141748489352
Abrocoma boliviensis,Abrocoma boliviensis,Rodentia,158,12.5917783333334,2.9079022390574,200.635345,100,0,0,1,1,G,2,1,1,0,1126.53599999124,2.73370166666666,2.0415,103.972828371681,98.07485807,34.1599930500001,233.927746527997,308.06698614,842.370552594263,1463.2093176129,470,0.384208760434759
Abrocoma budini,Abrocoma budini,Rodentia,221.82,12.755,3.36900933406061,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.831865,134.703332060939,112.26904,43.5932045700001,286.283647199999,367.2816505475,1152.72346143271,888.660829658234,0,0.463026930148831
Abrocoma cinerea,Abrocoma cinerea,Rodentia,221.82,12.755,3.12944337989878,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.906115,124.017708140058,112.26904,42.4793290600001,250.025027745998,335.39373024,1101.68438333345,620.424087339326,1300,0.463026930148831
Abrocoma famatina,Abrocoma famatina,Rodentia,221.82,12.755,3.10635180775823,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.915855,123.354342500273,112.26904,42.3103472000002,250.548635425998,335.140731405,1094.11664314978,678.579481932848,1293.383,0.463026930148831
Abrocoma shistacea,Abrocoma shistacea,Rodentia,221.82,12.755,3.01642828919029,201,100,0,0,1,1,G,2,1,2,0,395.416666545,1.995,1.97382,110.351784040508,112.26904,37.1357655600002,228.424616219998,308.5072701,1019.67334547798,738.028501220781,1800,0.463026930148831
Abrocoma uspallata,Abrocoma uspallata,Rodentia,164.2793,12.0761883333334,2.87816531821161,203.77109,100,0,0,1,1,G,3,1,1,0,1449.71916667567,2.75552,2.04992,105.654511537051,98.22021543,33.6469650800001,231.681240603997,309.95269708,838.647694061152,1718.76434505552,300,0.392533231193529
