iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Maxomys inflatus,Maxomys inflatus,Rodentia,152,6.56379200000002,2.09080935709018,235,80,10,10,2,3,G,1,1,1,0,722.316749949623,3.28681999999998,3.17001500000001,53.5484554601152,28.7318309599999,27.43681644,113.26329134,155.613415904,605.752041950667,1236.62893511955,1033.55159999996,0.376114293822397
Maxomys moi,Maxomys moi,Rodentia,147,6.17936333333335,2.0396953082325,235,80,10,10,2,3,G,2,1,1,0,735.578416619454,3.33588666666665,3.15252500000001,48.3488193605401,26.2494295233332,27.2755005800001,110.80784122,153.385076094,600.392247975755,1062.87010625286,1310,0.369258413450731
Maxomys musschenbroekii,Maxomys musschenbroekii,Rodentia,84.8,5.07877499999998,1.58025366171179,235,80,10,10,2,3,G,2,1,1,0,739.392666620549,3.47073916666664,3.18592000000001,42.8075897324,24.4223252908332,27.1207348066667,108.07132118,145.15560349,565.032919100812,1163.89108284383,1547.412,0.272849764959613
Maxomys ochraceiventer,Maxomys ochraceiventer,Rodentia,158.96,5.55989000000002,1.92416550039138,201.25,80,10,10,2,3,G,1,1,1,0,696.085416605582,3.23627499999997,3.26368500000001,46.9997783684701,26.7254687833332,28.09796936,105.9414338,143.884859624,601.644968759243,670.885488482595,1400,0.385490948449272
Maxomys pagensis,Maxomys pagensis,Rodentia,150.48,5.10450000000002,1.87967570465714,201.25,80,10,10,2,3,G,1,1,1,0,739.146291615802,3.54,3.30908000000001,41.192670848995,24.6881673333332,27.1468388866666,101.91970626,131.405854134,568.493261309547,659.886554074161,1632.05404999995,0.374040988156903
Maxomys panglima,Maxomys panglima,Rodentia,154.72,4.91914500000001,1.77427784307264,167.5,80,10,10,2,3,G,2,1,1,0,822.983749962765,3.54,3.16085500000001,41.489917252415,24.9373578408332,27.1194041666666,102.28332086,131.805726624,561.537406442948,909.856962428599,1550,0.379801273367277
Maxomys rajah,Maxomys rajah,Rodentia,150,5.29043500000002,1.92,201.25,80,10,10,2,3,G,1,1,1,0,304.166666545,3.29,3.29438500000001,43.0023413461251,25.5683456733332,27.3357956866667,101.0115341,135.657816204,582.799985275972,1014.21492347935,1100,0.373384304203717
Maxomys surifer,Maxomys surifer,Rodentia,150.48,5.13129500000001,1.98,201.25,80,10,10,2,3,G,2,1,1,0,770.213874956559,3.54,3.24523500000001,41.80218836801,24.4905274633332,27.1191483266666,101.90711024,132.392199794,563.627408101218,717.456170860735,1680,0.374040988156903
Maxomys tajuddinii,Maxomys tajuddinii,Rodentia,5493.07552578622,191.408107185,29.3647788755921,498.776435000001,79,9,12,2,3,G,1,1,1,0,3947.16809583455,2.3842575,1.826963767967,200.559039685983,62.8909084950001,93.1361563133334,596.867945816666,675.2564272,2358.38195619226,485.069748753024,900,3.35257755388443
Maxomys wattsi,Maxomys wattsi,Rodentia,147,5.29950000000002,1.89394298900176,198.7806775,80,10,10,2,3,G,1,1,1,0,712.072416605217,3.43131249999998,3.28799500000001,43.6506822748301,24.6378993033332,27.3610936466666,102.38932046,139.054568714,578.29729950946,667.626263743898,1488.185,0.369258413450731
Maxomys whiteheadi,Maxomys whiteheadi,Rodentia,54.33,4.61874999999996,1.03,201.25,80,10,10,2,3,G,2,1,1,0,547.5,3,3.45846000000001,40.29220725105,26.0889622649999,26.7661728066667,101.685555706,140.6977679967,563.960218442338,44.28,2100,0.213588419966367
Mazama americana,Mazama americana,Cetartiodactyla,23000,540.5,94.4832,1350,100,0,0,1,2,G,1,2,1,0,6241.5,1.22,1,328.265995285812,225,182.308,380.116,620,2017.365,0.24,1000,5.94642814114331
Mazama bororo,Mazama bororo,Cetartiodactyla,25000,1879.25290700001,95.4543323320028,1305.968075,100,0,0,1,2,G,1,2,1,0,5474.63621654609,1.09098,1.32533999999999,251.20821962911,220.568149334999,122.26226552,411.838164420001,580,2145.09375,1.56592072242878,1000,6.2254803983665
Mazama bricenii,Mazama bricenii,Cetartiodactyla,16499.85,1221.2582495,83.0123031866868,1350,100,0,0,1,2,G,2,2,1,0,2217.375,1.11,1.256695,298.315914047595,226.1505,122.8778859,455.864357673334,635,2555,32.1214660113132,2200,4.95358777763434
Mazama chunyi,Mazama chunyi,Cetartiodactyla,16071.74,1817.30976000001,96.3047966076681,1350,100,0,0,1,2,G,1,2,1,0,5180.24059990729,1.5,1.26948499999999,287.285329264375,243.33,110.69625248,406.294312880002,384,1460,6.42051990727667,3000,4.8824798448562
Mazama gouazoubira,Mazama gouazoubira,Cetartiodactyla,16650,834.46,62.0564,1134.125,100,0,0,1,3,G,1,2,1,0,5405.04166545,1,1.07196,327.549371102457,219.86,100.797212795238,623.938,934.99,2158.075633343,2.45666666666667,1500,4.97833016790371
Mazama nana,Mazama nana,Cetartiodactyla,16499.85,1073.6865245,77.0128112703152,1231.909635,100,0,0,1,2,G,1,2,1,0,5397.74044978319,1.084825,1.32516499999999,246.391753582855,216.366603939999,94.7941725200002,439.157456133335,504,2293.8365,1.6039071878687,1743.564,4.95358777763434
Mazama nemorivaga,Mazama nemorivaga,Cetartiodactyla,15000,834.46,62.0564,1134.125,100,0,0,1,3,G,2,2,1,0,5405.04166545,1,1.16106999999999,304.094626022691,219.86,96.9215370800001,623.938,482,2181.36375,2.45666666666667,1500,4.70062988927143
Mazama pandora,Mazama pandora,Cetartiodactyla,20546.86,667.415,96.7028671804138,1350,100,0,0,1,2,G,2,2,1,0,6241.5,1,1,319.679546432621,225,182.308,395,547,2190,4.80304165260658,300,5.58876526695213
Mazama rufina,Mazama rufina,Cetartiodactyla,14649.625,1212.4973295,80.3289384241311,1350,100,0,0,1,2,G,2,2,1,0,2217.375,1.11,1.298555,264.330931466524,226.1505,114.6642817,411.001113620001,441,2555,30.8020877888429,2000,4.63991948608233
