"","taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason","iucn2020_binomial"
"337",10141,"Hipposideros lamottei","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Lamotte's Roundleaf Bat","Brosset, 1985",2020,"2019-06-21","CR","B1ab(i,iii,v)","Decreasing",FALSE,FALSE,TRUE,"Monadjem, A. & Cooper-Bohannon, R.","Waldien, D.L.",NA,"85",1450,500,NA,NA,NA,NA,NA,NA,"Hipposideros lamottei"
"338",10142,"Hipposideros lankadiva","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Indian Leaf-nosed Bat","Kelaart, 1850",2019,"2018-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Srinivasulu, B. & Srinivasulu, C.","Waldien, D.L.",">2,001",">20,000",1000,0,NA,NA,NA,NA,NA,NA,"Hipposideros lankadiva"
"339",85646564,"Hipposideros larvatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Horsfield's Leaf-nosed Bat","(Horsfield, 1823)",2020,"2020-07-05","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Srinivasulu, C. & Srinivasulu, A.","Battistoni, A.",NA,NA,2000,0,NA,NA,NA,NA,NA,NA,"Hipposideros larvatus"
"340",10144,"Hipposideros lekaguli","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Large Asian Leaf-nosed Bat","Thonglongya &amp; Hill, 1974",2019,"2018-08-31","NT",NA,"Decreasing",FALSE,FALSE,TRUE,"Csorba, G., Bumrungsri, S., Francis, C., Bates, P., Gumal, M., Kingston, T. & Soisook, P.","Waldien, D.L.",NA,NA,400,50,NA,NA,NA,NA,NA,NA,"Hipposideros lekaguli"
"341",10145,"Hipposideros lylei","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Shield-faced Leaf-nosed Bat","Thomas, 1913",2019,"2018-08-31","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Senawi, J., Bates, P., Bumrungsri, S. & Francis, C.","Waldien, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros lylei"
"342",10146,"Hipposideros macrobullatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Big-eared Leaf-nosed Bat","Tate, 1941",2016,"2016-04-08","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Hutson, A.M., Schlitter, D. & Kingston, T.","Piraccini, R.",NA,"181737",NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros macrobullatus"
"343",10147,"Hipposideros madurae","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Maduran Leaf-nosed Bat","Kitchener &amp; Maryanto, 1993",2021,"2021-04-27","NT",NA,"Decreasing",FALSE,FALSE,TRUE,"Santiago, K., Wortham, G. & Waldien, D.L.","Battistoni, A.",NA,"91093",1000,0,NA,NA,NA,NA,NA,NA,"Hipposideros madurae"
"344",10148,"Hipposideros maggietaylorae","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Maggie Taylor's Leaf-nosed Bat","Smith &amp; Hill, 1981",2021,"2020-11-21","LC",NA,"Stable",FALSE,FALSE,TRUE,"Armstrong, K.N. & Wiantoro, S.","Waldien, D.L.",NA,NA,380,0,NA,NA,NA,NA,NA,NA,"Hipposideros maggietaylorae"
"345",10149,"Hipposideros marisae","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Aellen's Roundleaf Bat","Aellen, 1954",2020,"2019-06-21","VU","A4c","Decreasing",FALSE,FALSE,TRUE,"Cooper-Bohannon, R., Mickleburgh, S., Hutson, A.M., Bergmans, W. & Fahr, J.","Monadjem, A. & Waldien, D.L.",NA,NA,920,0,NA,NA,NA,NA,NA,NA,"Hipposideros marisae"
"346",10150,"Hipposideros megalotis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Ethiopian Large-eared Roundleaf Bat","(Heuglin, 1862)",2017,"2016-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.","Piraccini, R.",NA,"1164241",2000,0,NA,NA,NA,NA,NA,NA,"Hipposideros megalotis"
"347",10151,"Hipposideros muscinus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Fly River Leaf-nosed Bat","(Thomas &amp; Doria, 1886)",2021,"2016-02-14","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Armstrong, K.N. & Aplin, K.","Piraccini, R.",NA,NA,750,0,NA,NA,NA,NA,TRUE,"Correction of assessor initials.","Hipposideros muscinus"
"348",10152,"Hipposideros nequam","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Malayan Leaf-nosed Bat","K. Andersen, 1918",2016,"2015-12-04","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Senawi, J., Bates, P. & Francis, C","Piraccini, R.",NA,"68",NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros nequam"
"349",80458824,"Hipposideros nicobarulae","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros",NA,"Miller, 1902",2020,"2020-07-01","EN","B2ab(ii,iii,iv,v)","Decreasing",FALSE,FALSE,TRUE,"Srinivasulu, B., Srinivasulu, C. & Waldien, D.L.","Battistoni, A.","44-52","8695",737,0,NA,NA,NA,NA,NA,NA,"Hipposideros nicobarulae"
"350",10153,"Hipposideros obscurus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Philippine Forest Leaf-nosed Bat","(Peters, 1861)",2019,"2018-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Alviola, P.A., Sedlock, J., Alvarez, J., Fidelino, J., Pedregosa, M., Jakosalem, P.G. & Tanalgo, K.","Duya, M.R.",NA,NA,1100,0,NA,NA,NA,NA,NA,NA,"Hipposideros obscurus"
"351",136192,"Hipposideros orbiculus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Orbiculus Leaf-nosed Bat","Francis, Kock &amp; Habersetzer, 1999",2016,"2015-12-04","VU","B2ab(iii)","Decreasing",FALSE,FALSE,TRUE,"Francis, C, Bates, P., Kingston, T. & Senawi, J.","Piraccini, R.","500-1999","20235",NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros orbiculus"
"352",10107,"Hipposideros papua","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Biak Leaf-nosed Bat","(Thomas &amp; Doria, 1886)",2021,"2020-11-21","LC",NA,"Stable",FALSE,FALSE,TRUE,"Armstrong, K.N. & Wiantoro, S.","Waldien, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros papua"
"353",136600,"Hipposideros pelingensis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Peleng Leaf-nosed Bat","Shamel, 1940",2021,"2021-01-07","NT",NA,"Decreasing",FALSE,FALSE,TRUE,"Wiantoro, S. & Waldien, D.L.","Battistoni, A.",NA,"473319",1000,0,NA,NA,NA,NA,NA,NA,"Hipposideros pelingensis"
"354",180990825,"Hipposideros pomona","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Andersen's Roundleaf Bat","K. Andersen, 1918",2020,"2020-07-05","EN","B2ab(ii,iii,iv,v)","Decreasing",FALSE,FALSE,TRUE,"Srinivasulu, C., Srinivasulu, B. & Srinivasulu, A.","Battistoni, A. & Waldien, D.L.","32-40","49413",1200,0,NA,NA,NA,NA,NA,NA,"Hipposideros pomona"
"355",10155,"Hipposideros pratti","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Pratt's Leaf-nosed Bat","Thomas, 1891",2019,"2018-08-20","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Jiang, T.L. & Feng, J.","Fukui, D.",NA,NA,2000,100,NA,NA,NA,NA,NA,NA,"Hipposideros pratti"
"356",10156,"Hipposideros pygmaeus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Philippine Pygmy Leaf-nosed Bat","(Waterhouse, 1843)",2019,"2018-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Sedlock, J., Alviola, P.A., Alvarez, J., Fidelino, J., Gatan-Balbas, M., Pedregosa, M., Veluz, M.J., Jakosalem, P.G. & Tanalgo, K.","Duya, M.R.",NA,NA,800,0,NA,NA,NA,NA,NA,NA,"Hipposideros pygmaeus"
"357",10108,"Hipposideros ridleyi","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Ridley's Leaf-nosed Bat","Robinson &amp; Kloss, 1911",2020,"2018-09-10","VU","A3c","Decreasing",FALSE,FALSE,TRUE,"Khan, F.A.A., Rajasegaran, P. & Rosli, Q.","Waldien, D.L.",NA,NA,500,0,NA,NA,NA,NA,NA,NA,"Hipposideros ridleyi"
"358",136477,"Hipposideros rotalis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Laotian Leaf-nosed Bat","Francis, Kock &amp; Habersetzer, 1999",2019,"2018-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Francis, C.M.","Waldien, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros rotalis"
"359",10157,"Hipposideros ruber","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Noack's Roundleaf Bat","(Noack, 1893)",2017,"2016-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.","Piraccini, R.",NA,"13057456",2300,0,NA,NA,NA,NA,NA,NA,"Hipposideros ruber"
"360",136586,"Hipposideros scutinares","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Shield-nosed Leaf-nosed Bat","Robinson, Jenkins, Francis &amp; Fulford, 2003",2019,"2018-08-31","VU","C1","Decreasing",FALSE,FALSE,TRUE,"Furey, N., Görföl, T., Francis, C., Bates, P., Csorba, G. & Tu, V.","Waldien, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros scutinares"
"361",10160,"Hipposideros semoni","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Semon's Leaf-nosed Bat","Matschie, 1903",2021,"2016-02-14","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Armstrong, K.N. & Aplin, K.","Piraccini, R.",NA,NA,1400,0,NA,NA,NA,NA,TRUE,"Correction of assessor initials.","Hipposideros semoni"
"362",10161,"Hipposideros sorenseni","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Sorensen's Leaf-nosed Bat","Kitchener &amp; Maryanto, 1993",2021,"2021-01-01","EN","B1ab(iii)","Unknown",FALSE,FALSE,TRUE,"Waldien, D.L. & Wiantoro, S.","Battistoni, A.",NA,"2242",1000,0,NA,NA,NA,NA,NA,NA,"Hipposideros sorenseni"
"363",10162,"Hipposideros speoris","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Schneider’s Leaf-nosed Bat","(Schneider, 1800)",2019,"2018-08-31","LC",NA,"Stable",FALSE,FALSE,TRUE,"Srinivasulu, B. & Srinivasulu, C.","Waldien, D.L.",NA,NA,1385,0,NA,NA,NA,NA,NA,NA,"Hipposideros speoris"
"364",10163,"Hipposideros stenotis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Northern Leaf-nosed Bat","Thomas, 1913",2021,"2020-11-28","VU","C1+2a(i)","Unknown",FALSE,FALSE,TRUE,"Armstrong, K.N., Woinarski, J.C.Z. & Milne, D.J.","Lumsden, L.F. & Waldien, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros stenotis"
"365",10164,"Hipposideros sumbae","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Sumban Leaf-nosed Bat","Oei, 1960",2021,"2021-08-06","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Santiago, K., Wortham, G., Gill, J. & Waldien, D.L.","Battistoni, A.",NA,NA,1000,0,NA,NA,NA,NA,NA,NA,"Hipposideros sumbae"
"366",85646524,"Hipposideros tephrus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros",NA,"Cabrera, 1906",2017,"2016-04-24","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Monadjem, A. & Shapiro, J.","Stone, E., Webala, P., Tanshi, I., Town, M., Guyton, J. & Dos Santos, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hipposideros tephrus"
"367",80224148,"Hipposideros turpis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Lesser Leaf-nosed Bat","Bangs, 1901",2019,"2018-07-25","EN","B1ab(iii)+2ab(iii)","Decreasing",FALSE,FALSE,TRUE,"Fukui, D. & Sano, A.","Thong, V.D.","400-500","4752",500,5,NA,NA,NA,NA,NA,NA,"Hipposideros turpis"
"368",10166,"Hipposideros wollastoni","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Wollaston's Leaf-nosed Bat","Thomas, 1913",2021,"2016-07-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Armstrong, K.N. & Aplin, K.","Piraccini, R.",NA,NA,2440,30,NA,NA,NA,NA,TRUE,"Correction of assessor initials.","Hipposideros wollastoni"
"369",10200,"Histiotus alienus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Histiotus","Strange Big-eared Brown Bat","Thomas, 1916",2016,"2016-06-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"González, E.M. & Barquez, R.","Solari, S.",NA,"4020",NA,NA,NA,NA,NA,NA,NA,NA,"Histiotus alienus"
"370",29606,"Histiotus humboldti","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Histiotus",NA,"Handley, 1996",2016,"2016-06-30","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Velazco, P. & Aguirre, L.","Solari, S.",NA,NA,2600,1500,NA,NA,NA,NA,NA,NA,"Histiotus humboldti"
"371",136502,"Histiotus laephotis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Histiotus","Thomas's Big-eared Brown Bat","Thomas, 1916",2019,"2019-02-05","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,3686,350,NA,NA,NA,NA,NA,NA,"Histiotus laephotis"
"372",10201,"Histiotus macrotus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Histiotus","Big-eared Brown Bat","(Poeppig, 1835)",2016,"2016-07-25","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Barquez, R. & Diaz, M.","Solari, S.",NA,NA,3600,240,NA,NA,NA,NA,NA,NA,"Histiotus macrotus"
"373",136292,"Histiotus magellanicus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Histiotus","Southern Big-eared Brown Bat","(Philippi, 1866)",2016,"2016-07-26","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Barquez, R. & Diaz, M.","Solari, S.",NA,NA,1200,500,NA,NA,NA,NA,NA,NA,"Histiotus magellanicus"
"374",10202,"Histiotus montanus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Histiotus","Small Big-eared Brown Bat","(Philippi &amp; Landbeck, 1861)",2016,"2016-07-27","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Barquez, R. & Diaz, M.","Solari, S.",NA,NA,4120,0,NA,NA,NA,NA,NA,NA,"Histiotus montanus"
"375",10203,"Histiotus velatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Histiotus","Tropical Big-eared Brown Bat","(I. Geoffroy, 1824)",2016,"2016-06-08","DD",NA,"Unknown",FALSE,FALSE,TRUE,"González, E.M. & Barquez, R.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Histiotus velatus"
"376",10598,"Hylonycteris underwoodi","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Hylonycteris","Underwood's Long-tongued Bat","Thomas, 1903",2016,"2016-08-08","LC",NA,"Stable",FALSE,FALSE,TRUE,"Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.","Solari, S.",NA,NA,2640,50,NA,NA,NA,NA,NA,NA,"Hylonycteris underwoodi"
"377",10734,"Hypsignathus monstrosus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Hypsignathus","Hammer-headed Fruit Bat","H. Allen, 1861",2016,"2016-01-20","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Tanshi, I.","Mildenstein, T.",NA,NA,1800,NA,NA,NA,TRUE,"This errata assessment has been created because the map was accidentally left out of the version published previously.",NA,NA,"Hypsignathus monstrosus"
"378",17324,"Hypsugo affinis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Chocolate Pipistrelle","Dobson, 1871",2019,"2018-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Srinivasulu, B. & Srinivasulu, C.","Waldien, D.L.",">2,000",">20,000",2000,0,NA,NA,NA,NA,NA,NA,"Hypsugo affinis"
"379",136560,"Hypsugo alaschanicus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Alashanian Pipistrelle","Bobrinskii, 1926",2019,"2018-08-06","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Fukui, D., Sano, A. & Kruskop, S.V.","Waldien, D.L.","unknown",">20,000sq.km",NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo alaschanicus"
"380",17327,"Hypsugo anthonyi","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Anthony's Pipistrelle","Tate, 1942",2016,"2015-12-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Görföl, T., Francis, C.M., Bates, P.J.J. & Csorba, G.","Piraccini, R.",NA,"47",NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo anthonyi"
"381",17328,"Hypsugo arabicus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Arabian Pipistrelle","Harrison, 1979",2019,"2018-08-31","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Srinivasulu, C. & Srinivasulu, B.","Waldien, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo arabicus"
"382",171619155,"Hypsugo ariel","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo",NA,"(Thomas, 1904)",2020,"2018-08-31","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Benda, P. & Aulagnier, S.","Monadjem, A., Cooper-Bohannon, R. & African Bat Re-Assessment Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo ariel"
"383",85200870,"Hypsugo bemainty","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Dark Madagascar pipistrelle","Goodman, Rakotondramanana, Ramasindrazana, Kearney, Maonadjem, Schoeman, Taylor, Naughton &amp; Appleton, 2015",2017,"2016-05-02","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Goodman, S.","Monadjem, A.",NA,NA,870,0,NA,NA,NA,NA,NA,NA,"Hypsugo bemainty"
"384",17331,"Hypsugo cadornae","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Cadorna’s Pipistrelle","Thomas, 1916",2019,"2018-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Bates, P.J.J., Francis, C., Molur, S., Srinivasulu, C. & Kruskop, S.V.","Waldien, D.L.",NA,NA,1950,120,NA,NA,NA,NA,NA,NA,"Hypsugo cadornae"
"385",85201719,"Hypsugo dolichodon","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Long-toothed Pipistrelle","Görföl, Csorba, Eger, Truong-Son &amp; Francis, 2014",2019,"2016-07-02","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Görföl, T. & Csorba, G.","Waldien, D.L.",NA,NA,400,100,NA,NA,NA,NA,NA,NA,"Hypsugo dolichodon"
"386",44854,"Hypsugo eisentrauti","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Eisentraut's Pipistrelle","Hill, 1968",2019,"2018-08-26","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Fahr. J.","Monadjem, A., African Bat Re-Assessment Team & Cooper-Bohannon, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo eisentrauti"
"387",17345,"Hypsugo joffrei","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Joffre's Pipistrelle","Thomas, 1915",2016,"2015-12-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Görföl, T., Francis, C.M., Bates, P.J.J. & Csorba, G.","Piraccini, R.",NA,"27467",NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo joffrei"
"388",17346,"Hypsugo kitcheneri","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Red-brown Pipistrelle","Thomas, 1915",2016,"2015-12-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Görföl, T., Kingston, T. & Hutson, A.M.","Piraccini, R.",NA,"270564",1500,0,NA,NA,NA,NA,NA,NA,"Hypsugo kitcheneri"
"389",85202881,"Hypsugo lanzai","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Socotran Pipistrelle","Benda, Al-Jumaily, Reiter &amp; Nasher, 2011",2020,"2019-07-14","EN","B1ab(iii)","Decreasing",FALSE,FALSE,TRUE,"Waldien, D.L.","Battistoni, A.",NA,"3464",300,0,NA,NA,NA,NA,NA,NA,"Hypsugo lanzai"
"390",17347,"Hypsugo lophurus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Burmese Pipistrelle","Thomas, 1915",2016,"2015-12-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Görföl, T., Kingston, T., Bates, P.J.J. & Francis, C.M.","Piraccini, R.",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo lophurus"
"391",17349,"Hypsugo macrotis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Big-eared Pipistrelle","Temminck, 1840",2016,"2015-12-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Görföl, T., Bates, P.J.J., Lim, L.S. & Francis, C.M.","Piraccini, R.",NA,"1082259",NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo macrotis"
"392",44855,"Hypsugo musciculus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Mouselike Pipistrelle","Thomas, 1913",2020,"2018-08-31","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Jacobs, D., Cotterill, F.P.D. & Taylor, P.J.","Monadjem, A., Cooper-Bohannon, R. & African Bat Re-Assessment Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypsugo musciculus"
"393",17360,"Hypsugo pulveratus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Chinese Pipistrelle","Peters, 1871",2020,"2019-07-10","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Bates, P. & Furey, N.","Waldien, D.L.",NA,NA,1080,0,NA,NA,NA,NA,NA,NA,"Hypsugo pulveratus"
"394",44856,"Hypsugo savii","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Savi's Pipistrelle","Bonaparte, 1837",2016,"2016-04-25","LC",NA,"Stable",FALSE,FALSE,TRUE,"Juste, J. & Paunović, M.","Piraccini, R.",NA,"15658670",3000,0,NA,NA,NA,NA,NA,NA,"Hypsugo savii"
"395",44195,"Hypsugo vordermanni","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Hypsugo","Vordermann's Pipistrelle","Jentink, 1890",2016,"2015-12-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Görföl, T., Kingston, T., Hutson, A.M. & Francis, C.M.","Piraccini, R.",NA,"555827",100,0,NA,NA,NA,NA,NA,NA,"Hypsugo vordermanni"
"396",10755,"Ia io","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Ia","Great Evening Bat","Thomas, 1902",2020,"2018-08-20","NT",NA,"Decreasing",FALSE,FALSE,TRUE,"Jiang, T.L. & Feng, J.","Fukui, D.",NA,NA,1700,200,NA,NA,NA,NA,NA,NA,"Ia io"
"397",10790,"Idionycteris phyllotis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Idionycteris","Allen's Big-eared Bat","(G.M. Allen, 1916)",2017,"2016-08-26","LC",NA,"Stable",FALSE,FALSE,TRUE,"Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.","Solari, S.",NA,NA,3225,403,NA,NA,NA,NA,NA,NA,"Idionycteris phyllotis"
"398",10966,"Kerivoula africana","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Kerivoula","Tanzanian Woolly Bat","Dobson, 1878",2020,"2019-06-18","EN","B2ab(iii,iv)","Decreasing",FALSE,FALSE,TRUE,"Cooper-Bohannon, R., Fahr, J. & Jacobs, D.","Monadjem, A.","16",NA,NA,0,NA,NA,NA,NA,NA,NA,"Kerivoula africana"
"399",10968,"Kerivoula agnella","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Kerivoula","Louisiade Woolly Bat","Thomas, 1908",2021,"2019-08-05","EN","C2a(i)","Decreasing",FALSE,FALSE,TRUE,"Aplin, K. & Armstrong, K.N.","Waldien, D.L.",NA,"33430",700,0,NA,NA,NA,NA,TRUE,"Correction of assessor initials.","Kerivoula agnella"
