"","taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason","iucn2020_binomial"
"14",1566,"Anoura cultrata","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","Handley's Tailless Bat","Handley, 1960",2016,"2016-05-23","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Molinari, J. & Mantilla-Meluk, H.","Solari, S.",NA,NA,2600,50,NA,NA,NA,NA,NA,NA,"Anoura cultrata"
"15",136239,"Anoura fistulata","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","Tube-lipped Tailless Bat","Muchhala, Mena-Valenzuela &amp; Albuja, 2005",2018,"2017-10-03","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,2510,1175,NA,NA,NA,NA,NA,NA,"Anoura fistulata"
"16",88109511,"Anoura geoffroyi","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","Geoffroy's Tailless Bat","Gray, 1838",2016,"2016-03-16","LC",NA,"Stable",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,3600,400,NA,NA,NA,NA,NA,NA,"Anoura geoffroyi"
"17",1568,"Anoura latidens","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","Broad-toothed Tailless Bat","Handley, 1984",2015,"2015-07-20","LC",NA,"Stable",FALSE,FALSE,TRUE,"Mantilla, H. & Molinari, J.","Solari, S.",NA,NA,2100,50,NA,NA,NA,NA,NA,NA,"Anoura latidens"
"18",1569,"Anoura luismanueli","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","Luis Manuel's Tailless Bat","Molinari, 1994",2018,"2018-02-19","LC",NA,"Stable",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,2400,1100,NA,NA,NA,NA,NA,NA,"Anoura luismanueli"
"19",88109497,"Anoura peruana","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Anoura",NA,"(Tschudi, 1844)",2019,"2019-02-07","LC",NA,"Stable",FALSE,FALSE,TRUE,"Tirira, D.G. & Solari, S.","Battistoni, A.",NA,NA,3800,100,NA,NA,NA,NA,NA,NA,"Anoura peruana"
"20",1620,"Anthops ornatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Anthops","Solomons Leaf-nosed Bat","Thomas, 1888",2020,"2019-07-29","VU","A2c","Decreasing",FALSE,FALSE,TRUE,"Leary, T., Lavery, T.H. & Pennay, M.","Waldien, D.L.",NA,"88297",411,0,NA,NA,NA,NA,NA,NA,"Anthops ornatus"
"21",1790,"Antrozous pallidus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Antrozous","Pallid Bat","(Le Conte, 1856)",2017,"2016-08-26","LC",NA,"Stable",FALSE,FALSE,TRUE,"Arroyo-Cabrales, J. & de Grammont, P.C.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antrozous pallidus"
"22",1933,"Aproteles bulmerae","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Aproteles","Bulmer's Fruit Bat","Menzies, 1977",2021,"2016-01-31","CR","B2ab(iv,v)c(ii); C2a(ii)","Decreasing",FALSE,FALSE,TRUE,"Aplin, K., Armstrong, K.N. & Wright, D.","Mildenstein, T.","8",NA,2400,500,NA,NA,NA,NA,TRUE,"Correction of assessor initials.","Aproteles bulmerae"
"23",2089,"Ardops nichollsi","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Ardops","Tree Bat","(Thomas, 1891)",2019,"2016-07-08","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Davalos, L. & Rodriguez Duran, A.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ardops nichollsi"
