"","Host","virus"
"224","nyctalus plancyi",1
"225","nyctalus velutinus",3
"226","nycteris grandis",1
"227","nycteris hispida",4
"228","nycteris macrotis",1
"229","nycteris thebaica",7
"230","nycticeius humeralis",1
"231","nyctimene cephalotes",1
"232","nyctinomops laticaudatus",2
"233","nyctinomops macrotis",2
"234","nyctophilus geoffroyi",1
"235","nyctophilus gouldi",1
"236","otomops madagascariensis",1
"237","otomops martiensseni",13
"238","parahypsugo crassulus",1
"239","parastrellus hesperus",1
"240","paratriaenops furculus",2
"241","perimyotis subflavus",3
"242","peropteryx macrotis",1
"243","phyllostomus discolor",4
"244","phyllostomus hastatus",4
"245","pipistrellus abramus",13
"246","pipistrellus coromandra",2
"247","pipistrellus hesperidus",2
"248","pipistrellus kuhlii",33
"249","pipistrellus nanulus",1
"250","pipistrellus nathusii",13
"251","pipistrellus pipistrellus",38
"252","pipistrellus pygmaeus",12
"253","platyrrhinus lineatus",2
"254","plecotus auritus",17
"255","plecotus austriacus",5
"256","plecotus gaisleri",1
"257","plecotus sacrimontis",1
"258","ptenochirus jagori",2
"259","pteronotus alitonus",2
"260","pteronotus davyi",4
"261","pteronotus parnellii",17
"262","pteronotus personatus",1
"263","pteronotus rubiginosus",2
"264","pteropus alecto",27
"265","pteropus conspicillatus",3
"266","pteropus dasymallus",1
"267","pteropus giganteus",49
"268","pteropus hypomelanus",3
"269","pteropus lylei",14
"270","pteropus melanotus",1
"271","pteropus poliocephalus",12
"272","pteropus rufus",14
"273","pteropus scapulatus",6
"274","pteropus tonganus",20
"275","pteropus vampyrus",9
"276","rhinolophus acuminatus",5
"277","rhinolophus affinis",73
"278","rhinolophus alcyone",5
"279","rhinolophus arcuatus",1
"280","rhinolophus blasii",18
"281","rhinolophus blythi",4
"282","rhinolophus capensis",1
"283","rhinolophus clivosus",9
"284","rhinolophus coelophyllus",6
"285","rhinolophus cornutus",5
"286","rhinolophus creaghi",5
"287","rhinolophus darlingi",1
"288","rhinolophus denti",1
"289","rhinolophus eloquens",2
"290","rhinolophus euryale",25
"291","rhinolophus ferrumequinum",77
"292","rhinolophus fumigatus",2
"293","rhinolophus hildebrandti",2
"294","rhinolophus hipposideros",32
"295","rhinolophus landeri",8
"296","rhinolophus lepidus",6
"297","rhinolophus lobatus",1
"298","rhinolophus luctus",1
"299","rhinolophus macrotis",4
"300","rhinolophus malayanus",3
"301","rhinolophus megaphyllus",2
"302","rhinolophus mehelyi",4
"303","rhinolophus monoceros",4
"304","rhinolophus pearsonii",17
"305","rhinolophus pusillus",24
"306","rhinolophus rex",2
"307","rhinolophus rhodesiae",1
"308","rhinolophus rouxii",3
"309","rhinolophus shameli",4
"310","rhinolophus simulator",8
"311","rhinolophus sinicus",78
"312","rhinolophus stheno",3
"313","rhinolophus thomasi",6
"314","rhinolophus trifoliatus",1
"315","rhinonicteris aurantia",1
"316","rhinophylla pumilio",2
"317","rhinopoma hardwickii",9
"318","rhogeessa tumida",1
"319","rhynchonycteris naso",2
"320","rousettus aegyptiacus",96
"321","rousettus amplexicaudatus",5
"322","rousettus leschenaultii",33
"323","rousettus madagascariensis",2
"324","saccolaimus flaviventris",1
"325","saccolaimus saccolaimus",2
"326","saccopteryx bilineata",1
"327","scotophilus dinganii",4
"328","scotophilus heathii",1
"329","scotophilus kuhlii",64
"330","scotophilus leucogaster",3
"331","scotophilus nigrita",1
"332","scotophilus nux",1
"333","sturnira erythromos",1
"334","sturnira lilium",18
"335","sturnira ludovici",1
"336","sturnira tildae",2
"337","syconycteris australis",2
"338","tadarida brasiliensis",24
"339","tadarida teniotis",5
"340","taphozous longimanus",2
"341","taphozous mauritianus",3
"342","taphozous melanopogon",53
"343","taphozous perforatus",9
"344","taphozous theobaldi",2
"345","thoopterus nigrescens",1
"346","trachops cirrhosus",2
"347","triaenops afer",7
"348","triaenops menamena",4
"349","triaenops persicus",12
"350","tylonycteris pachypus",7
"351","tylonycteris robustula",16
"352","uroderma bilobatum",5
"353","vampyrodes caraccioli",2
"354","vespertilio murinus",9
"355","vespertilio sinensis",11
