"","contrast","estimate","SE","df","t.ratio","p.value"
"1","virus richness - zoonotic proportion",1.20000000000001,0.82697382926288,196,1.45107373115981,0.222536889173966
"2","virus richness - virus host",4.76,0.826973829262881,196,5.75592580026723,1.96851515921675e-07
"3","virus richness - zoonotic host",0.760000000000007,0.826973829262881,196,0.919013363067884,0.431061814788067
"4","zoonotic proportion - virus host",3.55999999999999,0.826973829262881,196,4.30485206910741,5.27559648155866e-05
"5","zoonotic proportion - zoonotic host",-0.439999999999999,0.826973829262882,196,-0.532060368091927,0.595286765513651
"6","virus host - zoonotic host",-3.99999999999999,0.826973829262882,196,-4.83691243719934,7.98727542101823e-06
