"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_seed","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_MORMOOPIDAE","fam_NATALIDAE","fam_NYCTERIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_RHINOLOPHIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
NA,"1",NA,1500,0,1500,NA,1,"1","0",90,0,0,0,10,0,0,1,47.5,143071.76,-1.59,-8.17,-4.88,146.43,135.41,140.92,1,9.62,1,0.08,350.99,213.49,1659.63,1661.47,2,"A","2","Australasian",15.94,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
2,"0",47.97,NA,NA,1500,0.99,0,"1","0",100,0,0,0,0,0,0,1,38.11,11358190.42,19.72,-22.78,-1.53,-34.79,-96.9,-65.84,0,21.94,0,0.12,157.52,244.17,1318.79,1563.25,2,"A","1","Neotropical",4.14,100,0,0,"3",8,5,0,1,"1","0","0","0","0","0","0","0","0","0",1,1
1.5,"1",66,NA,0,NA,1,0,"1","0",100,0,0,0,0,0,0,1,48,5013413.14,21.09,-17.54,1.77,51.41,-13.83,18.78,0,40.72,1,0.1,77.86,239.85,881.64,1614,5,"A","1","Afrotropical",10.68,100,0,0,"3",35,4,1,1,"1","0","0","0","0","0","0","0","0","0",1,1
1,"0",67,NA,NA,500,0.995,0,"1","0",100,0,0,0,0,0,0,1,45.99,12018838.16,23.55,-22.53,0.5,-34.79,-105.7,-70.24,0,26.37,0,0.11,153.44,241.8,1296.3,1557.92,2,"A","2","Neotropical",7.9,100,0,0,"3",2,20,0,0,"1","0","0","0","0","0","0","0","0","0",1,0
NA,"1",NA,NA,NA,NA,0.98,1,"1","0",100,0,0,0,0,0,0,1,34.5,785123.85,2.64,-10.85,-4.1,162.39,118.75,140.57,1,31.25,2,0.11,245.52,233.43,1692.19,1728.61,4,"A","1","Australasian",3.33,100,0,0,"3",0,1,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"0",47,NA,NA,NA,NA,NA,NA,NA,90,0,0,0,10,0,0,1,46.5,2369.52,15.29,-21.01,-2.86,179.99,-179.99,0,38,83.46,38,0.1,-999,-999,-999,-999,2,"A","2","Oceanian",6.29,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,NA,550,650,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12746.59,6.95,4.14,5.54,-74.76,-75.4,-75.08,19,68.66,19,0.07,152.83,201.53,1474.2,1491.95,2,"A","2","Neotropical",5,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"1",NA,NA,NA,NA,1,1,"1","0",90,0,0,0,10,0,0,1,44,1495997.23,11.67,-8.78,1.44,125.24,95.18,110.21,1,149.09,4,0.12,233.86,246.94,1670.07,1753.66,3,"A","2","Australasian, Indomalayan",5,90,0,10,"3",0,1,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,53,NA,NA,NA,1,0,"1","0",100,0,0,0,0,0,0,1,43.5,12187438.94,21.6,-25.28,-1.83,-34.79,-97.01,-65.9,0,26.11,0,0.12,154.23,243.07,1313.52,1552.51,1,"A","1","Neotropical",230.99,100,0,0,"3",1,6,0,0,"1","0","0","0","0","0","0","0","0","0",1,0
NA,NA,NA,NA,NA,NA,1,0,"0","0",100,0,0,0,0,0,0,1,67.5,1716282.96,-18.44,-29.51,-23.98,139.49,115.13,127.31,0,0.03,0,0.02,20.54,219.52,290.04,1330.41,6,"A","2","Australasian",21.99,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
