row,trainRMSE,testRMSE,best,n.trees,interaction.depth,shrinkage,seed,id,id2
1,0.15580696389810017,0.167841142251072,2194,15000,2,0.001,1,15000 2 0.001,1
2,0.13055820361165263,0.17613240516594444,13842,15000,2,0.001,2,15000 2 0.001,1
3,0.12671470615603372,0.18547980236453188,14604,15000,2,0.001,3,15000 2 0.001,1
4,0.14687054920796938,0.19327035870897144,2610,15000,2,0.001,4,15000 2 0.001,1
5,0.1556670896642076,0.1575950340798621,2765,15000,2,0.001,5,15000 2 0.001,1
6,0.15102190882887548,0.16470353001318166,3629,15000,2,0.001,6,15000 2 0.001,1
7,0.14077955427045677,0.2124205112711372,2556,15000,2,0.001,7,15000 2 0.001,1
8,0.1563846975838554,0.16254810619081317,2278,15000,2,0.001,8,15000 2 0.001,1
9,0.1592152718276287,0.1329162033960662,3163,15000,2,0.001,9,15000 2 0.001,1
10,0.16345005379870303,0.11225411805526091,3142,15000,2,0.001,10,15000 2 0.001,1
11,0.15525245414602212,0.16765956719461397,4675,15000,2,5e-4,1,15000 2 5e-04,2
12,0.14136334950702972,0.17376958043971386,13867,15000,2,5e-4,2,15000 2 5e-04,2
13,0.1378647269909894,0.18217860209251188,14981,15000,2,5e-4,3,15000 2 5e-04,2
14,0.1461702794932056,0.19302166789183117,5668,15000,2,5e-4,4,15000 2 5e-04,2
15,0.15652134914422225,0.1575027060739212,5019,15000,2,5e-4,5,15000 2 5e-04,2
16,0.15140706570997067,0.16487196280444583,6905,15000,2,5e-4,6,15000 2 5e-04,2
17,0.13996376482121156,0.2121477009077591,5632,15000,2,5e-4,7,15000 2 5e-04,2
18,0.15672359261996688,0.16304819862604475,4363,15000,2,5e-4,8,15000 2 5e-04,2
19,0.15864387068744729,0.13299184254781046,6684,15000,2,5e-4,9,15000 2 5e-04,2
20,0.1645752787625618,0.11223595341137732,5536,15000,2,5e-4,10,15000 2 5e-04,2
21,0.1532485337845927,0.16659397838802112,2074,15000,3,0.001,1,15000 3 0.001,3
22,0.13772280772112103,0.17368240688352102,5590,15000,3,0.001,2,15000 3 0.001,3
23,0.12994505196131678,0.1825806793950264,7571,15000,3,0.001,3,15000 3 0.001,3
24,0.1450334533910638,0.19244784828126818,2239,15000,3,0.001,4,15000 3 0.001,3
25,0.15349064301018336,0.15727921643858753,2377,15000,3,0.001,5,15000 3 0.001,3
26,0.14663422756257177,0.16409606908453958,3642,15000,3,0.001,6,15000 3 0.001,3
27,0.13705910803570856,0.21125572890378683,2574,15000,3,0.001,7,15000 3 0.001,3
28,0.15415487022646934,0.16187014270620023,2080,15000,3,0.001,8,15000 3 0.001,3
29,0.1542699956329311,0.13287704312561763,3236,15000,3,0.001,9,15000 3 0.001,3
30,0.1617868299109967,0.1120840826700289,2509,15000,3,0.001,10,15000 3 0.001,3
31,0.15373538542472737,0.16676995071761846,3916,15000,3,5e-4,1,15000 3 5e-04,4
32,0.13423977101,0.17442145757587568,13800,15000,3,5e-4,2,15000 3 5e-04,4
33,0.13083280335375538,0.1827778684886609,14611,15000,3,5e-4,3,15000 3 5e-04,4
34,0.14524665641507067,0.19232875493592588,4339,15000,3,5e-4,4,15000 3 5e-04,4
35,0.15227725460250746,0.15768318225103856,5257,15000,3,5e-4,5,15000 3 5e-04,4
36,0.14776686951963663,0.16414646523609547,6578,15000,3,5e-4,6,15000 3 5e-04,4
37,0.1380735126907914,0.2115287093376469,4700,15000,3,5e-4,7,15000 3 5e-04,4
38,0.15473339830633562,0.16233049161158739,3914,15000,3,5e-4,8,15000 3 5e-04,4
39,0.15453096523895243,0.13283068221918456,6385,15000,3,5e-4,9,15000 3 5e-04,4
40,0.16164632686742175,0.11194780028239282,5090,15000,3,5e-4,10,15000 3 5e-04,4
41,0.15147794405684584,0.16572773374175537,1927,15000,4,0.001,1,15000 4 0.001,5
42,0.1388452183609268,0.1729506392247036,3906,15000,4,0.001,2,15000 4 0.001,5
43,0.12492399446475878,0.18304779671725022,7231,15000,4,0.001,3,15000 4 0.001,5
44,0.14347648722055606,0.1919631563169416,1985,15000,4,0.001,4,15000 4 0.001,5
45,0.15011143304225164,0.15714172036434737,2412,15000,4,0.001,5,15000 4 0.001,5
46,0.1447868772186242,0.16366837188650818,3201,15000,4,0.001,6,15000 4 0.001,5
47,0.1360905301680934,0.21104491698319908,2152,15000,4,0.001,7,15000 4 0.001,5
48,0.15283404318741647,0.16154801385345263,1814,15000,4,0.001,8,15000 4 0.001,5
49,0.15271080817322952,0.13259346368815772,2734,15000,4,0.001,9,15000 4 0.001,5
50,0.15973761138862128,0.11198034530604518,2289,15000,4,0.001,10,15000 4 0.001,5
51,0.1517814338667377,0.16591581995292012,3733,15000,4,5e-4,1,15000 4 5e-04,6
52,0.13919696381379168,0.17271445536439184,7640,15000,4,5e-4,2,15000 4 5e-04,6
53,0.12478716174483448,0.18353083394138425,14606,15000,4,5e-4,3,15000 4 5e-04,6
54,0.14288142647264954,0.19172972814096514,4150,15000,4,5e-4,4,15000 4 5e-04,6
55,0.14982114096930144,0.1573794805380741,4956,15000,4,5e-4,5,15000 4 5e-04,6
56,0.14470381921738343,0.1637225004777164,6389,15000,4,5e-4,6,15000 4 5e-04,6
57,0.13621646277695562,0.21104586424294755,4294,15000,4,5e-4,7,15000 4 5e-04,6
58,0.15325663988882834,0.16191234546649724,3514,15000,4,5e-4,8,15000 4 5e-04,6
59,0.15297327358365218,0.13229877898917033,5409,15000,4,5e-4,9,15000 4 5e-04,6
60,0.15937655147782703,0.1118002869053527,4748,15000,4,5e-4,10,15000 4 5e-04,6
61,0.15476355294088204,0.1678887393041295,240,5000,2,0.01,1,5000 2 0.01,7
62,0.13161923129706704,0.17631296672697924,1298,5000,2,0.01,2,5000 2 0.01,7
63,0.1287147929629344,0.18481205868822528,1325,5000,2,0.01,3,5000 2 0.01,7
64,0.14674328265448897,0.19351641627220592,272,5000,2,0.01,4,5000 2 0.01,7
65,0.1539852431871078,0.15759580462367656,336,5000,2,0.01,5,5000 2 0.01,7
66,0.15085475985813548,0.1641730817938015,360,5000,2,0.01,6,5000 2 0.01,7
67,0.14046593577645308,0.2124140975962755,259,5000,2,0.01,7,5000 2 0.01,7
68,0.15578807631735342,0.16222035369492013,249,5000,2,0.01,8,5000 2 0.01,7
69,0.15813255684681785,0.13307573355920344,340,5000,2,0.01,9,5000 2 0.01,7
70,0.16374821998486877,0.11207560916317447,308,5000,2,0.01,10,5000 2 0.01,7
71,0.15312535564221885,0.16731204534722485,213,5000,3,0.01,1,5000 3 0.01,8
72,0.13900970747457184,0.173806660513246,522,5000,3,0.01,2,5000 3 0.01,8
73,0.12283324369603804,0.18567653611183374,1095,5000,3,0.01,3,5000 3 0.01,8
74,0.14526911999061,0.19316143797015092,220,5000,3,0.01,4,5000 3 0.01,8
75,0.14932589054866355,0.1577425390298694,334,5000,3,0.01,5,5000 3 0.01,8
76,0.1471450979800959,0.16417069528229503,344,5000,3,0.01,6,5000 3 0.01,8
77,0.13852228067928607,0.21162792455341506,216,5000,3,0.01,7,5000 3 0.01,8
78,0.15511024594527145,0.16212505150856252,187,5000,3,0.01,8,5000 3 0.01,8
79,0.1536102857231779,0.1333007819972562,340,5000,3,0.01,9,5000 3 0.01,8
80,0.16102727999636055,0.11233376453792844,269,5000,3,0.01,10,5000 3 0.01,8
81,0.15079232523706027,0.16613100858515115,206,5000,4,0.01,1,5000 4 0.01,9
82,0.1389321126556207,0.17287198067342485,391,5000,4,0.01,2,5000 4 0.01,9
83,0.12948683287238952,0.1827757234974575,580,5000,4,0.01,3,5000 4 0.01,9
84,0.14251140942945004,0.19279066276514814,220,5000,4,0.01,4,5000 4 0.01,9
85,0.14541014895639323,0.1579933527041486,340,5000,4,0.01,5,5000 4 0.01,9
86,0.14389527109760542,0.16334299862750476,343,5000,4,0.01,6,5000 4 0.01,9
