"","tip","cites","vcites"
"170","Dyacopterus_brooksi",0,0
"171","Dyacopterus_rickarti",0,0
"172","Dyacopterus_spadiceus",0,0
"173","Ectophylla_alba",7,0
"174","Eidolon_dupreanum",9,6
"175","Eidolon_helvum",121,63
"176","Emballonura_alecto",0,0
"177","Emballonura_atrata",0,0
"178","Emballonura_beccarii",0,0
"179","Emballonura_dianae",0,0
"180","Emballonura_furax",0,0
"181","Emballonura_monticola",1,0
"182","Emballonura_raffrayana",0,0
"183","Emballonura_semicaudata",0,0
"184","Emballonura_serii",0,0
"185","Emballonura_tiavato",0,0
"186","Enchisthenes_hartii",2,0
"187","Eonycteris_major",0,0
"188","Eonycteris_robusta",0,0
"189","Eonycteris_spelaea",30,14
"190","Epomophorus_angolensis",0,0
"191","Epomophorus_anselli",0,0
"192","Epomophorus_crypturus",1,0
"193","Epomophorus_gambianus",14,8
"194","Epomophorus_grandis",0,0
"195","Epomophorus_labiatus",2,2
"196","Epomophorus_minimus",0,0
"197","Epomophorus_wahlbergi",14,0
"198","Epomops_buettikoferi",2,2
"199","Epomops_dobsonii",0,0
"200","Epomops_franqueti",12,7
"201","Eptesicus_andinus",0,0
"202","Eptesicus_bobrinskoi",0,0
"203","Eptesicus_bottae",2,0
"204","Eptesicus_brasiliensis",2,0
"205","Eptesicus_chiriquinus",0,0
"206","Eptesicus_diminutus",4,0
"207","Eptesicus_dimissus",0,0
"208","Eptesicus_floweri",0,0
"209","Eptesicus_furinalis",10,4
"210","Eptesicus_fuscus",514,72
"211","Eptesicus_gobiensis",0,0
"212","Eptesicus_guadeloupensis",0,0
"213","Eptesicus_hottentotus",3,0
"214","Eptesicus_innoxius",0,0
"215","Eptesicus_isabellinus",10,8
"216","Eptesicus_japonensis",0,0
"217","Eptesicus_kobayashii",0,0
"218","Eptesicus_lobatus",0,0
"219","Eptesicus_nasutus",0,0
"220","Eptesicus_nilssonii",19,3
"221","Eptesicus_pachyomus",0,0
"222","Eptesicus_pachyotis",0,0
"223","Eptesicus_platyops",0,0
"224","Eptesicus_serotinus",79,56
"225","Eptesicus_tatei",0,0
"226","Erophylla_bombifrons",1,0
"227","Erophylla_sezekorni",5,0
"228","Euderma_maculatum",5,1
"229","Eudiscoderma_thongareeae",0,0
"230","Eudiscopus_denticulus",1,0
"231","Eumops_auripendulus",2,1
"232","Eumops_bonariensis",1,0
"233","Eumops_chiribaya",0,0
"234","Eumops_dabbenei",0,0
"235","Eumops_ferox",0,0
"236","Eumops_floridanus",0,0
"237","Eumops_glaucinus",6,0
"238","Eumops_hansae",0,0
"239","Eumops_maurus",1,0
"240","Eumops_patagonicus",2,1
"241","Eumops_perotis",7,2
"242","Eumops_trumbulli",0,0
"243","Eumops_underwoodi",0,0
"244","Eumops_wilsoni",0,0
"245","Falsistrellus_affinis",0,0
"246","Falsistrellus_mackenziei",1,1
"247","Falsistrellus_mordax",0,0
"248","Falsistrellus_petersi",0,0
"249","Falsistrellus_tasmaniensis",0,0
"250","Furipterus_horrens",2,0
"251","Glauconycteris_alboguttata",0,0
"252","Glauconycteris_argentata",0,0
"253","Glauconycteris_beatrix",2,0
"254","Glauconycteris_curryae",1,0
"255","Glauconycteris_egeria",0,0
"256","Glauconycteris_gleni",0,0
"257","Glauconycteris_humeralis",0,0
"258","Glauconycteris_kenyacola",0,0
"259","Glauconycteris_machadoi",0,0
"260","Glauconycteris_poensis",2,0
"261","Glauconycteris_superba",1,0
"262","Glauconycteris_variegata",0,0
"263","Glischropus_aquilus",0,0
"264","Glischropus_bucephalus",0,0
"265","Glischropus_javanus",0,0
"266","Glischropus_tylopus",1,0
"267","Glossophaga_commissarisi",7,0
"268","Glossophaga_leachii",0,0
"269","Glossophaga_longirostris",5,1
"270","Glossophaga_morenoi",0,0
"271","Glossophaga_soricina",109,7
"272","Glyphonycteris_behnii",0,0
"273","Glyphonycteris_daviesi",0,0
"274","Glyphonycteris_sylvestris",1,0
"275","Haplonycteris_fischeri",2,0
"276","Harpiocephalus_harpia",2,0
"277","Harpiocephalus_mordax",0,0
"278","Harpiola_grisea",0,0
"279","Harpiola_isodon",0,0
"280","Harpyionycteris_celebensis",0,0
"281","Harpyionycteris_whiteheadi",0,0
"282","Hesperoptenus_blanfordi",1,0
"283","Hesperoptenus_doriae",0,0
"284","Hesperoptenus_gaskelli",0,0
"285","Hesperoptenus_tickelli",0,0
"286","Hesperoptenus_tomesi",0,0
"287","Hipposideros_abae",1,1
"288","Hipposideros_alongensis",0,0
"289","Hipposideros_armiger",44,6
"290","Hipposideros_ater",1,0
"291","Hipposideros_beatus",1,0
"292","Hipposideros_bicolor",6,1
"293","Hipposideros_boeadii",0,0
"294","Hipposideros_breviceps",0,0
"295","Hipposideros_caffer",8,3
"296","Hipposideros_calcaratus",0,0
"297","Hipposideros_camerunensis",0,0
"298","Hipposideros_cervinus",2,0
"299","Hipposideros_cineraceus",1,1
"300","Hipposideros_commersoni",6,3
"301","Hipposideros_coronatus",0,0
"302","Hipposideros_corynophyllus",0,0
"303","Hipposideros_coxi",0,0
"304","Hipposideros_crumeniferus",0,0
"305","Hipposideros_curtus",0,0
"306","Hipposideros_cyclops",5,1
"307","Hipposideros_demissus",0,0
"308","Hipposideros_diadema",9,1
"309","Hipposideros_dinops",0,0
"310","Hipposideros_doriae",0,0
"311","Hipposideros_durgadasi",1,0
"312","Hipposideros_dyacorum",0,0
"313","Hipposideros_edwardshilli",0,0
"314","Hipposideros_einnaythu",0,0
"315","Hipposideros_fuliginosus",1,0
"316","Hipposideros_fulvus",7,0
"317","Hipposideros_galeritus",2,0
"318","Hipposideros_gigas",3,2
"319","Hipposideros_grandis",0,0
"320","Hipposideros_griffini",0,0
"321","Hipposideros_halophyllus",0,0
"322","Hipposideros_hypophyllus",0,0
"323","Hipposideros_inexpectatus",0,0
"324","Hipposideros_inornatus",0,0
"325","Hipposideros_jonesi",0,0
"326","Hipposideros_khaokhouayensis",0,0
"327","Hipposideros_lamottei",0,0
"328","Hipposideros_lankadiva",3,0
"329","Hipposideros_larvatus",17,4
"330","Hipposideros_lekaguli",1,1
"331","Hipposideros_lylei",0,0
"332","Hipposideros_macrobullatus",0,0
