"cnames","species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete","iucn2020_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n"
"Dermanura aztecus","Dermanura aztecus","Dermanura_aztecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_aztecus",0,0,0,"drop","drop",1,"yes","Dermanura aztecus",16.755,NA,75,44.36,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,3000,600,2400,0,NA,1,0,"Neotropical",2
"Dermanura bogotensis","Dermanura bogotensis","Dermanura_bogotensis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Dermanura bogotensis",12.505,0.476,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,2600,100,2500,0,NA,0,0,"Neotropical",1
"Dermanura cinereus","Dermanura cinereus","Dermanura_cinereus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_cinereus",13,0,0,"keep","keep",0,"yes","Dermanura cinereus",12.7,0.468,NA,38.99,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",3
"Dermanura glaucus","Dermanura glaucus","Dermanura_glaucus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_glaucus",3,0,0,"keep","keep",0,"yes","Dermanura glaucus",12.505,0.476,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",1
"Dermanura gnomus","Dermanura gnomus","Dermanura_gnomus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_gnomus",0,0,0,"drop","drop",0,"yes","Dermanura gnomus",12.31,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,800,NA,NA,NA,NA,NA,NA,"Neotropical",1
"Dermanura phaeotis","Dermanura phaeotis","Dermanura_phaeotis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_phaeotis",32,4,0,"keep","keep",0,"yes","Dermanura phaeotis",11.69,0.448,57.25,38.55,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,2.52,NA,7.59,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1200,NA,NA,0,NA,1,0,"Neotropical",2
"Dermanura rava","Dermanura rava","Dermanura_rava","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes","Dermanura rava",11.69,0.448,57.25,38.55,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,2.52,NA,7.59,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,2050,0,2050,0,NA,1,0,"Nearctic",1
"Dermanura rosenbergii","Dermanura rosenbergii","Dermanura_rosenbergii","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Dermanura rosenbergii",10.2,0.476,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,20,0,80,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1000,0,1000,0,NA,0,0,"Neotropical",1
"Dermanura toltecus","Dermanura toltecus","Dermanura_toltecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_toltecus",7,0,0,"keep","keep",1,"yes","Dermanura toltecus",14.085,0.544,65,39.5,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",3
"Dermanura watsoni","Dermanura incomitatus","Dermanura_incomitatus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_incomitatus",0,0,0,"drop","drop",NA,"yes","Dermanura watsoni",12.31,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,800,NA,NA,0,NA,1,0,"Neotropical",2
"Dermanura watsoni","Dermanura watsoni","Dermanura_watsoni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_watsoni",0,2,0,"keep","drop",0,"yes","Dermanura watsoni",12.31,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,800,NA,NA,0,NA,1,0,"Neotropical",2
"Desmalopex leucopterus","Desmalopex leucopterus","Desmalopex_leucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera","Pteropus_leucopterus",0,0,0,"drop","drop",0,"yes","Desmalopex leucopterus",343.81,NA,NA,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,NA,0,0,"Indomalayan",1
"Desmalopex microleucopterus","Desmalopex microleucopterus","Desmalopex_microleucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",NA,"yes","Desmalopex microleucopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Desmodus draculae","Desmodus draculae","Desmodus_draculae","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodus rotundus","Desmodus rotundus","Desmodus_rotundus","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera","Desmodus_rotundus",1113,388,141,"keep","keep",0,"yes","Desmodus rotundus",33.18,0.882,85.5,58.29,10658,285,285,285,285,189,NA,1,1.26,288.777,8,274,NA,2779.798,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",1,0,0,0,1,2400,NA,NA,0,NA,1,0,"Nearctic, Neotropical",3
"Diaemus youngi","Diaemus youngi","Diaemus_youngi","Diaemus","PHYLLOSTOMIDAE","Yangochiroptera","Diaemus_youngi",9,13,1,"keep","keep",0,"yes","Diaemus youngi",36.6,0.97,115,50.78,7300,NA,NA,NA,NA,258.74,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",3
"Diclidurus albus","Diclidurus albus","Diclidurus_albus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_albus",2,0,0,"keep","keep",0,"yes","Diclidurus albus",18.5,NA,75.995,66,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.51,NA,NA,NA,NA,NA,NA,2,NA,1,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",2
"Diclidurus ingens","Diclidurus ingens","Diclidurus_ingens","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_ingens",0,0,0,"drop","drop",1,"yes","Diclidurus ingens",12.3,NA,79,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",2
"Diclidurus isabellus","Diclidurus isabellus","Diclidurus_isabellus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_isabellus",0,0,0,"drop","drop",NA,"yes","Diclidurus isabellus",12.61,NA,79,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",2
"Diclidurus scutatus","Diclidurus scutatus","Diclidurus_scutatus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_scutatus",0,0,0,"drop","drop",0,"yes","Diclidurus scutatus",13.62,NA,79,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1000,NA,NA,0,NA,0,0,"Neotropical",2
"Diphylla ecaudata","Diphylla ecaudata","Diphylla_ecaudata","Diphylla","PHYLLOSTOMIDAE","Yangochiroptera","Diphylla_ecaudata",19,18,4,"keep","keep",1,"yes","Diphylla ecaudata",28.11,0.802,82.495,54.99,2974.75,273.96,NA,NA,NA,213.08,NA,1,1.5,NA,4.8,NA,NA,NA,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",1,0,0,0,1,1900,NA,NA,0,NA,1,0,"Nearctic, Neotropical",4
"Dobsonia anderseni","Dobsonia anderseni","Dobsonia_anderseni","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_anderseni",2,0,0,"keep","keep",1,"yes","Dobsonia anderseni",312.4,NA,214.115,122.55,4492.542,714.83,714.83,NA,871.26,156.43,NA,0.99,1,NA,64.45,173.1,162,NA,NA,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,1500,0,1500,1,NA,0,0,"Australasian",3
"Dobsonia beauforti","Dobsonia beauforti","Dobsonia_beauforti","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_beauforti",0,0,0,"drop","drop",0,"yes","Dobsonia beauforti",165.35,NA,161.28,105.74,NA,NA,NA,NA,NA,NA,NA,0.99,1,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,0,0,"Australasian",3
"Dobsonia chapmani","Dobsonia chapmani","Dobsonia_chapmani","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_chapmani",0,0,0,"drop","drop",0,"yes","Dobsonia chapmani",269.61,NA,202.74,127.5,1061.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2190,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,860,0,860,NA,NA,NA,NA,"Indomalayan",2
"Dobsonia crenulata","Dobsonia crenulata","Dobsonia_crenulata","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_crenulata",0,0,0,"drop","drop",0,"yes","Dobsonia crenulata",229.435,NA,178.14,122.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,1000,0,1000,1,NA,0,0,"Australasian",4
"Dobsonia emersa","Dobsonia emersa","Dobsonia_emersa","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_emersa",0,0,0,"drop","drop",0,"yes","Dobsonia emersa",201.06,NA,164.32,115.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,0,0,"Australasian",2
"Dobsonia exoleta","Dobsonia exoleta","Dobsonia_exoleta","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_exoleta",0,0,0,"drop","drop",0,"yes","Dobsonia exoleta",302.03,NA,202.74,114.76,1061.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,1,0,"Australasian",3
"Dobsonia inermis","Dobsonia inermis","Dobsonia_inermis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_inermis",0,0,0,"drop","drop",0,"yes","Dobsonia inermis",152.6,2.7,173.98,107.25,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1300,0,1300,1,NA,0,0,"Australasian",3
"Dobsonia minor","Dobsonia minor","Dobsonia_minor","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_minor",0,0,0,"drop","drop",0,"yes","Dobsonia minor",80.1,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,0.995,1.5,NA,NA,NA,NA,NA,NA,NA,0,2,NA,1,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,1,0,"Australasian",2
"Dobsonia moluccensis","Dobsonia moluccensis","Dobsonia_moluccensis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_moluccensis",36,2,1,"keep","keep",1,"yes","Dobsonia moluccensis",404.3,4.43,242,138.69,4492.542,714.83,714.83,NA,871.26,156.43,NA,0.995,1,NA,64.45,173.1,162,2011.279,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2700,0,2700,1,NA,1,0,"Australasian",4
"Dobsonia pannietensis","Dobsonia pannietensis","Dobsonia_pannietensis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_pannietensis",0,0,0,"drop","drop",0,"yes","Dobsonia pannietensis",358.35,NA,214.115,110.83,4492.542,714.83,714.83,NA,871.26,156.43,NA,0.99,1,NA,64.45,173.1,162,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1800,0,1800,1,NA,0,0,"Australasian",2
"Dobsonia peronii","Dobsonia peronii","Dobsonia_peronii","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_peronii",0,0,0,"drop","drop",0,"yes","Dobsonia peronii",226.51,NA,NA,115.1,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,52.4,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2200,0,2200,1,NA,0,0,"Australasian",3
"Dobsonia praedatrix","Dobsonia praedatrix","Dobsonia_praedatrix","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_praedatrix",0,1,0,"keep","drop",0,"yes","Dobsonia praedatrix",179.12,2.975,161.13,116.5,NA,NA,NA,NA,NA,NA,NA,1,2,NA,32,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,300,0,300,1,NA,0,0,"Australasian",1
"Dobsonia viridis","Dobsonia viridis","Dobsonia_viridis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_viridis",0,1,1,"keep","keep",0,"yes","Dobsonia viridis",240.66,NA,NA,115.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1000,0,1000,1,NA,0,0,"Australasian",3
"Dryadonycteris capixaba","Dryadonycteris capixaba","Dryadonycteris_capixaba","Dryadonycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Dryadonycteris capixaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Neotropical",1
"Dyacopterus brooksi","Dyacopterus brooksi","Dyacopterus_brooksi","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera","Dyacopterus_brooksi",0,0,0,"drop","drop",0,"yes","Dyacopterus brooksi",83.05,NA,140.65,81.45,10950,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,1825,NA,NA,0,NA,NA,NA,0,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,1,0,"Indomalayan",1
"Dyacopterus rickarti","Dyacopterus rickarti","Dyacopterus_rickarti","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",0,"yes","Dyacopterus rickarti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dyacopterus spadiceus","Dyacopterus spadiceus","Dyacopterus_spadiceus","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera","Dyacopterus_spadiceus",5,0,0,"keep","keep",0,"yes","Dyacopterus spadiceus",85,NA,140.65,79.66,10950,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,1,0,"Indomalayan",2
"Ectophylla alba","Ectophylla alba","Ectophylla_alba","Ectophylla","PHYLLOSTOMIDAE","Yangochiroptera","Ectophylla_alba",0,7,0,"keep","drop",0,"yes","Ectophylla alba",5.55,NA,47,28.65,NA,NA,NA,NA,NA,NA,NA,0.995,2,NA,NA,24.98,NA,2190,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,700,NA,NA,0,NA,0,0,"Neotropical",1
"Eidolon dupreanum","Eidolon dupreanum","Eidolon_dupreanum","Eidolon","PTEROPODIDAE","Yinpterochiroptera","Eidolon_dupreanum",22,9,6,"keep","keep",0,"yes","Eidolon dupreanum",297.58,NA,202.5,127.72,7968.863,NA,NA,NA,NA,164.36,NA,1.08,1,364.75,49.99,62.915,112.53,2190,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",2,0,0,0,1,1200,10,1190,1,NA,1,0,"Afrotropical",2
"Eidolon helvum","Eidolon helvum","Eidolon_helvum","Eidolon","PTEROPODIDAE","Yinpterochiroptera","Eidolon_helvum",1247,121,63,"keep","keep",0,"yes","Eidolon helvum",280.43,4.433,198.79,120.5,7968.863,NA,NA,NA,NA,219.68,NA,1.04,1,364.75,49.14,62.915,112.53,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",2,0,0,0,1,2000,0,2000,NA,NA,NA,NA,"Afrotropical",3
"Emballonura alecto","Emballonura alecto","Emballonura_alecto","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_alecto",0,0,0,"drop","drop",0,"yes","Emballonura alecto",5.25,NA,NA,45.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,450,0,450,1,NA,1,0,"Australasian, Indomalayan",3
"Emballonura atrata","Emballonura atrata","Emballonura_atrata","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_atrata",0,0,0,"drop","drop",0,"yes","Emballonura atrata",4.55,NA,58.75,38.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,900,30,870,1,NA,0,0,"Afrotropical",2
"Emballonura beccarii","Emballonura beccarii","Emballonura_beccarii","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_beccarii",0,0,0,"drop","drop",0,"yes","Emballonura beccarii",4.31,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,1500,0,1500,1,NA,0,0,"Australasian",2
"Emballonura dianae","Emballonura dianae","Emballonura_dianae","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_dianae",0,0,0,"drop","drop",0,"yes","Emballonura dianae",13.21,NA,NA,44.49,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,1400,0,1400,1,NA,0,0,"Australasian",2
"Emballonura furax","Emballonura furax","Emballonura_furax","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_furax",0,0,0,"drop","drop",1,"yes","Emballonura furax",15.94,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,1500,0,1500,1,NA,1,0,"Australasian",2
"Emballonura monticola","Emballonura monticola","Emballonura_monticola","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_monticola",0,1,0,"keep","drop",1,"yes","Emballonura monticola",5,0.163,NA,44,NA,365.25,365.25,365.25,NA,NA,NA,1,NA,NA,1.125,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,NA,NA,NA,1,NA,1,0,"Australasian, Indomalayan",3
"Emballonura raffrayana","Emballonura raffrayana","Emballonura_raffrayana","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_raffrayana",0,0,0,"drop","drop",0,"yes","Emballonura raffrayana",5.61,0.174,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,1600,0,1600,1,NA,0,0,"Australasian",2
"Emballonura semicaudata","Emballonura semicaudata","Emballonura_semicaudata","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_semicaudata",0,0,0,"drop","drop",0,"yes","Emballonura semicaudata",6.29,0.184,47,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,90,0,10,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Oceanian",2
"Emballonura serii","Emballonura serii","Emballonura_serii","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_serii",0,0,0,"drop","drop",0,"yes","Emballonura serii",5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"A",2,0,0,0,1,300,0,300,NA,NA,NA,NA,"Australasian",2
"Emballonura tiavato","Emballonura tiavato","Emballonura_tiavato","Emballonura","EMBALLONURIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Emballonura tiavato",3.3,NA,58.75,38.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,90,0,0,0,0,0,10,0,0,0,1,3,"A",2,0,0,0,1,330,10,320,1,NA,0,0,"Afrotropical",2
"Enchisthenes hartii","Enchisthenes hartii","Enchisthenes_hartii","Enchisthenes","PHYLLOSTOMIDAE","Yangochiroptera","Enchisthenes_hartii",0,2,0,"keep","drop",0,"yes","Enchisthenes hartii",16.99,0.51,68.5,39.82,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,1,"Ar",1,0,0,0,1,3540,0,3540,0,NA,1,0,"Nearctic, Neotropical",1
"Eonycteris major","Eonycteris major","Eonycteris_major","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_major",0,0,0,"drop","drop",0,"yes","Eonycteris major",80.85,NA,NA,79.76,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12.99,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,100,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,NA,1,0,"Indomalayan",1
"Eonycteris robusta","Eonycteris robusta","Eonycteris_robusta","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_robusta",0,0,0,"drop","drop",0,"yes","Eonycteris robusta",78.36,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12.99,NA,NA,2190,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,1100,0,1100,1,NA,0,0,"Indomalayan",2
