"species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete"
"Acerodon celebensis","Acerodon_celebensis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis",17,1,1,"keep","keep",0,"yes"
"Acerodon humilis","Acerodon_humilis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_humilis",0,0,0,"drop","drop",0,"yes"
"Acerodon jubatus","Acerodon_jubatus","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_jubatus",0,4,3,"keep","keep",0,"yes"
"Acerodon leucotis","Acerodon_leucotis","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_leucotis",0,0,0,"drop","drop",0,"yes"
"Acerodon mackloti","Acerodon_mackloti","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_mackloti",0,0,0,"drop","drop",0,"yes"
"Aethalops aequalis","Aethalops_aequalis","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_aequalis",0,0,0,"drop","drop",0,"yes"
"Aethalops alecto","Aethalops_alecto","Aethalops","PTEROPODIDAE","Yinpterochiroptera","Aethalops_alecto",0,0,0,"drop","drop",NA,"yes"
"Alionycteris paucidentata","Alionycteris_paucidentata","Alionycteris","PTEROPODIDAE","Yinpterochiroptera","Alionycteris_paucidentata",0,0,0,"drop","drop",NA,"yes"
"Ametrida centurio","Ametrida_centurio","Ametrida","PHYLLOSTOMIDAE","Yangochiroptera","Ametrida_centurio",0,0,0,"drop","drop",NA,"yes"
"Amorphochilus schnablii","Amorphochilus_schnablii","Amorphochilus","FURIPTERIDAE","Yangochiroptera","Amorphochilus_schnablii",0,0,0,"drop","drop",1,"yes"
"Anoura canishina","Anoura_canishina","Anoura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Anoura caudifer","Anoura_caudifer","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer",15,6,1,"keep","keep",0,"yes"
"Anoura cultrata","Anoura_cultrata","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_cultrata",0,1,0,"keep","drop",1,"yes"
"Anoura fistulata","Anoura_fistulata","Anoura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,1,0,"keep","drop",0,"yes"
"Anoura geoffroyi","Anoura_geoffroyi","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi",41,15,0,"keep","keep",0,"yes"
"Anoura latidens","Anoura_latidens","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_latidens",0,0,0,"drop","drop",0,"yes"
"Anoura luismanueli","Anoura_luismanueli","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_luismanueli",0,0,0,"drop","drop",0,"yes"
"Anthops ornatus","Anthops_ornatus","Anthops","HIPPOSIDERIDAE","Yinpterochiroptera","Anthops_ornatus",0,0,0,"drop","drop",NA,"yes"
"Antrozous pallidus","Antrozous_pallidus","Antrozous","VESPERTILIONIDAE","Yangochiroptera","Antrozous_pallidus",29,34,0,"keep","keep",1,"yes"
"Aproteles bulmerae","Aproteles_bulmerae","Aproteles","PTEROPODIDAE","Yinpterochiroptera","Aproteles_bulmerae",0,0,0,"drop","drop",0,"yes"
"Ardops nichollsi","Ardops_nichollsi","Ardops","PHYLLOSTOMIDAE","Yangochiroptera","Ardops_nichollsi",0,1,0,"keep","drop",0,"yes"
"Arielulus aureocollaris","Arielulus_aureocollaris","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_aureocollaris",0,0,0,"drop","drop",NA,"yes"
"Arielulus circumdatus","Arielulus_circumdatus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_circumdatus",0,0,0,"drop","drop",NA,"yes"
"Arielulus cuprosus","Arielulus_cuprosus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_cuprosus",0,0,0,"drop","drop",NA,"yes"
"Arielulus societatis","Arielulus_societatis","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_societatis",0,0,0,"drop","drop",0,"yes"
"Arielulus torquatus","Arielulus_torquatus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_torquatus",0,0,0,"drop","drop",NA,"yes"
"Ariteus flavescens","Ariteus_flavescens","Ariteus","PHYLLOSTOMIDAE","Yangochiroptera","Ariteus_flavescens",0,0,0,"drop","drop",NA,"yes"
"Artibeus amplus","Artibeus_amplus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_amplus",0,1,0,"keep","drop",0,"yes"
"Artibeus concolor","Artibeus_concolor","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_concolor",0,0,0,"drop","drop",NA,"yes"
"Artibeus fimbriatus","Artibeus_fimbriatus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_fimbriatus",11,5,2,"keep","keep",0,"yes"
"Artibeus fraterculus","Artibeus_fraterculus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_fraterculus",0,1,0,"keep","drop",1,"yes"
"Artibeus hirsutus","Artibeus_hirsutus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_hirsutus",0,3,0,"keep","drop",1,"yes"
"Artibeus inopinatus","Artibeus_inopinatus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_inopinatus",0,0,0,"drop","drop",1,"yes"
"Artibeus jamaicensis","Artibeus_jamaicensis","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_jamaicensis",93,104,27,"keep","keep",1,"yes"
"Artibeus lituratus","Artibeus_lituratus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_lituratus",332,111,21,"keep","keep",1,"yes"
"Artibeus obscurus","Artibeus_obscurus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_obscurus",16,9,1,"keep","keep",0,"yes"
"Artibeus planirostris","Artibeus_planirostris","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera",NA,65,39,9,"keep","keep",0,"yes"
"Asellia arabica","Asellia_arabica","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Asellia patrizii","Asellia_patrizii","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera","Asellia_patrizii",0,0,0,"drop","drop",1,"yes"
"Asellia tridens","Asellia_tridens","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera","Asellia_tridens",0,5,0,"keep","drop",1,"yes"
"Aselliscus stoliczkanus","Aselliscus_stoliczkanus","Aselliscus","HIPPOSIDERIDAE","Yinpterochiroptera","Aselliscus_stoliczkanus",23,12,3,"keep","keep",0,"yes"
"Aselliscus tricuspidatus","Aselliscus_tricuspidatus","Aselliscus","HIPPOSIDERIDAE","Yinpterochiroptera","Aselliscus_tricuspidatus",0,0,0,"drop","drop",1,"yes"
"Balantiopteryx infusca","Balantiopteryx_infusca","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_infusca",0,0,0,"drop","drop",1,"yes"
"Balantiopteryx io","Balantiopteryx_io","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_io",0,0,0,"drop","drop",0,"yes"
"Balantiopteryx plicata","Balantiopteryx_plicata","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_plicata",0,6,0,"keep","drop",1,"yes"
"Balionycteris maculata","Balionycteris_maculata","Balionycteris","PTEROPODIDAE","Yinpterochiroptera","Balionycteris_maculata",1,0,0,"keep","keep",0,"yes"
"Barbastella barbastellus","Barbastella_barbastellus","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_barbastellus",10,24,2,"keep","keep",1,"yes"
"Barbastella beijingensis","Barbastella_beijingensis","Barbastella","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Barbastella leucomelas","Barbastella_leucomelas","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_leucomelas",0,1,0,"keep","drop",1,"yes"
"Bauerus dubiaquercus","Bauerus_dubiaquercus","Bauerus","VESPERTILIONIDAE","Yangochiroptera","Bauerus_dubiaquercus",2,0,0,"keep","keep",1,"yes"
"Brachyphylla cavernarum","Brachyphylla_cavernarum","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_cavernarum",0,4,1,"keep","keep",1,"yes"
"Brachyphylla nana","Brachyphylla_nana","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_nana",0,0,0,"drop","drop",0,"yes"
"Cardioderma cor","Cardioderma_cor","Cardioderma","MEGADERMATIDAE","Yinpterochiroptera","Cardioderma_cor",10,3,0,"keep","keep",0,"yes"
"Carollia benkeithi","Carollia_benkeithi","Carollia","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Carollia brevicauda","Carollia_brevicauda","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_brevicauda",21,19,1,"keep","keep",NA,"yes"
"Carollia castanea","Carollia_castanea","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_castanea",0,4,1,"keep","keep",0,"yes"
"Carollia manu","Carollia_manu","Carollia","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,1,0,"keep","drop",1,"yes"
"Carollia perspicillata","Carollia_perspicillata","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_perspicillata",167,203,19,"keep","keep",1,"yes"
"Carollia sowelli","Carollia_sowelli","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_sowelli",20,8,1,"keep","keep",1,"yes"
"Carollia subrufa","Carollia_subrufa","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_subrufa",3,0,0,"keep","keep",1,"yes"
"Casinycteris argynnis","Casinycteris_argynnis","Casinycteris","PTEROPODIDAE","Yinpterochiroptera","Casinycteris_argynnis",0,3,0,"keep","drop",0,"yes"
"Casinycteris campomaanensis","Casinycteris_campomaanensis","Casinycteris","PTEROPODIDAE","Yinpterochiroptera",NA,0,1,0,"keep","drop",0,"yes"
