"species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete"
"Casinycteris ophiodon","Casinycteris_ophiodon","Casinycteris","PTEROPODIDAE","Yinpterochiroptera","Scotonycteris_ophiodon",0,0,0,"drop","drop",0,"yes"
"Centronycteris centralis","Centronycteris_centralis","Centronycteris","EMBALLONURIDAE","Yangochiroptera","Centronycteris_centralis",0,1,0,"keep","drop",0,"yes"
"Centronycteris maximiliani","Centronycteris_maximiliani","Centronycteris","EMBALLONURIDAE","Yangochiroptera","Centronycteris_maximiliani",0,3,0,"keep","drop",0,"yes"
"Centurio senex","Centurio_senex","Centurio","PHYLLOSTOMIDAE","Yangochiroptera","Centurio_senex",0,1,0,"keep","drop",0,"yes"
"Chaerephon aloysiisabaudiae","Chaerephon_aloysiisabaudiae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_aloysiisabaudiae",0,0,0,"drop","drop",0,"yes"
"Chaerephon ansorgei","Chaerephon_ansorgei","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_ansorgei",0,0,0,"drop","drop",1,"yes"
"Chaerephon atsinanana","Chaerephon_atsinanana","Chaerephon","MOLOSSIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Chaerephon bemmeleni","Chaerephon_bemmeleni","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bemmeleni",0,0,0,"drop","drop",0,"yes"
"Chaerephon bivittatus","Chaerephon_bivittatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bivittatus",0,1,0,"keep","drop",1,"yes"
"Chaerephon bregullae","Chaerephon_bregullae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bregullae",0,0,0,"drop","drop",0,"yes"
"Chaerephon chapini","Chaerephon_chapini","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_chapini",0,0,0,"drop","drop",1,"yes"
"Chaerephon gallagheri","Chaerephon_gallagheri","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_gallagheri",0,0,0,"drop","drop",0,"yes"
"Chaerephon jobensis","Chaerephon_jobensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_jobensis",0,0,0,"drop","drop",1,"yes"
"Chaerephon johorensis","Chaerephon_johorensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_johorensis",0,0,0,"drop","drop",NA,"yes"
"Chaerephon major","Chaerephon_major","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_major",0,0,0,"drop","drop",1,"yes"
"Chaerephon nigeriae","Chaerephon_nigeriae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_nigeriae",0,1,1,"keep","keep",1,"yes"
"Chaerephon plicatus","Chaerephon_plicatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_plicatus",46,3,0,"keep","keep",1,"yes"
"Chaerephon pumilus","Chaerephon_pumilus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_pumilus",108,5,3,"keep","keep",1,"yes"
"Chaerephon russatus","Chaerephon_russatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_russatus",0,0,0,"drop","drop",0,"yes"
"Chaerephon solomonis","Chaerephon_solomonis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_solomonis",0,0,0,"drop","drop",0,"yes"
"Chaerephon tomensis","Chaerephon_tomensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_tomensis",0,0,0,"drop","drop",NA,"yes"
"Chalinolobus dwyeri","Chalinolobus_dwyeri","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_dwyeri",0,0,0,"drop","drop",1,"yes"
"Chalinolobus gouldii","Chalinolobus_gouldii","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_gouldii",16,15,1,"keep","keep",1,"yes"
"Chalinolobus morio","Chalinolobus_morio","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_morio",10,2,0,"keep","keep",1,"yes"
"Chalinolobus neocaledonicus","Chalinolobus_neocaledonicus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_neocaledonicus",0,1,0,"keep","drop",1,"yes"
"Chalinolobus nigrogriseus","Chalinolobus_nigrogriseus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_nigrogriseus",0,1,0,"keep","drop",1,"yes"
"Chalinolobus picatus","Chalinolobus_picatus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_picatus",0,0,0,"drop","drop",1,"yes"
"Chalinolobus tuberculatus","Chalinolobus_tuberculatus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_tuberculatus",0,4,1,"keep","keep",0,"yes"
"Cheiromeles parvidens","Cheiromeles_parvidens","Cheiromeles","MOLOSSIDAE","Yangochiroptera","Cheiromeles_parvidens",0,0,0,"drop","drop",0,"yes"
"Cheiromeles torquatus","Cheiromeles_torquatus","Cheiromeles","MOLOSSIDAE","Yangochiroptera","Cheiromeles_torquatus",0,3,0,"keep","drop",1,"yes"
"Chilonatalus micropus","Chilonatalus_micropus","Chilonatalus","NATALIDAE","Yangochiroptera","Chilonatalus_micropus",0,0,0,"drop","drop",0,"yes"
"Chilonatalus tumidifrons","Chilonatalus_tumidifrons","Chilonatalus","NATALIDAE","Yangochiroptera","Chilonatalus_tumidifrons",0,0,0,"drop","drop",0,"yes"
"Chiroderma doriae","Chiroderma_doriae","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_doriae",0,1,0,"keep","drop",NA,"yes"
"Chiroderma improvisum","Chiroderma_improvisum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_improvisum",0,1,0,"keep","drop",NA,"yes"
"Chiroderma salvini","Chiroderma_salvini","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_salvini",0,0,0,"drop","drop",1,"yes"
"Chiroderma trinitatum","Chiroderma_trinitatum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_trinitatum",0,1,0,"keep","drop",0,"yes"
"Chiroderma villosum","Chiroderma_villosum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_villosum",0,5,0,"keep","drop",1,"yes"
"Chiroderma vizottoi","Chiroderma_vizottoi","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,1,0,"keep","drop",NA,"yes"
"Chironax melanocephalus","Chironax_melanocephalus","Chironax","PTEROPODIDAE","Yinpterochiroptera","Chironax_melanocephalus",0,0,0,"drop","drop",0,"yes"
"Choeroniscus godmani","Choeroniscus_godmani","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_godmani",0,2,1,"keep","keep",NA,"yes"
"Choeroniscus minor","Choeroniscus_minor","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_minor",0,1,0,"keep","drop",0,"yes"
"Choeroniscus periosus","Choeroniscus_periosus","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_periosus",0,0,0,"drop","drop",NA,"yes"
"Choeronycteris mexicana","Choeronycteris_mexicana","Choeronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Choeronycteris_mexicana",0,10,0,"keep","drop",1,"yes"
"Chrotopterus auritus","Chrotopterus_auritus","Chrotopterus","PHYLLOSTOMIDAE","Yangochiroptera","Chrotopterus_auritus",4,7,0,"keep","keep",0,"yes"
"Cistugo lesueuri","Cistugo_lesueuri","Cistugo","VESPERTILIONIDAE","Yangochiroptera","Cistugo_lesueuri",0,1,0,"keep","drop",0,"yes"
"Cistugo seabrae","Cistugo_seabrae","Cistugo","VESPERTILIONIDAE","Yangochiroptera","Cistugo_seabrae",0,0,0,"drop","drop",0,"yes"
"Cloeotis percivali","Cloeotis_percivali","Cloeotis","HIPPOSIDERIDAE","Yinpterochiroptera","Cloeotis_percivali",0,0,0,"drop","drop",1,"yes"
"Coelops frithii","Coelops_frithii","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera","Coelops_frithii",0,1,0,"keep","drop",1,"yes"
"Coelops hirsutus","Coelops_hirsutus","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Coelops robinsoni","Coelops_robinsoni","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera","Coelops_robinsoni",0,0,0,"drop","drop",0,"yes"
"Coleura afra","Coleura_afra","Coleura","EMBALLONURIDAE","Yangochiroptera","Coleura_afra",35,4,1,"keep","keep",1,"yes"
"Coleura kibomalandy","Coleura_kibomalandy","Coleura","EMBALLONURIDAE","Yangochiroptera",NA,3,0,0,"keep","keep",0,"yes"
"Coleura seychellensis","Coleura_seychellensis","Coleura","EMBALLONURIDAE","Yangochiroptera","Coleura_seychellensis",0,0,0,"drop","drop",0,"yes"
"Cormura brevirostris","Cormura_brevirostris","Cormura","EMBALLONURIDAE","Yangochiroptera","Cormura_brevirostris",0,3,0,"keep","drop",0,"yes"
"Corynorhinus mexicanus","Corynorhinus_mexicanus","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_mexicanus",0,5,0,"keep","drop",1,"yes"
"Corynorhinus rafinesquii","Corynorhinus_rafinesquii","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_rafinesquii",3,8,1,"keep","keep",1,"yes"
"Corynorhinus townsendii","Corynorhinus_townsendii","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_townsendii",15,10,0,"keep","keep",1,"yes"
"Craseonycteris thonglongyai","Craseonycteris_thonglongyai","Craseonycteris","CRASEONYCTERIDAE","Yinpterochiroptera","Craseonycteris_thonglongyai",0,1,0,"keep","drop",0,"yes"
"Cynomops abrasus","Cynomops_abrasus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_abrasus",17,2,0,"keep","keep",0,"yes"
"Cynomops greenhalli","Cynomops_greenhalli","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_greenhalli",0,0,0,"drop","drop",1,"yes"
"Cynomops mexicanus","Cynomops_mexicanus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_mexicanus",0,0,0,"drop","drop",1,"yes"
"Cynomops paranus","Cynomops_paranus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_paranus",0,0,0,"drop","drop",NA,"yes"
"Cynomops planirostris","Cynomops_planirostris","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_planirostris",11,3,0,"keep","keep",1,"yes"
"Cynopterus brachyotis","Cynopterus_brachyotis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_brachyotis",64,46,9,"keep","keep",0,"yes"
"Cynopterus horsfieldii","Cynopterus_horsfieldii","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_horsfieldii",5,0,0,"keep","keep",0,"yes"
"Cynopterus luzoniensis","Cynopterus_luzoniensis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_luzoniensis",0,0,0,"drop","drop",NA,"yes"
"Cynopterus minutus","Cynopterus_minutus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_minutus",0,0,0,"drop","drop",NA,"yes"
"Cynopterus nusatenggara","Cynopterus_nusatenggara","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_nusatenggara",0,0,0,"drop","drop",NA,"yes"
"Cynopterus sphinx","Cynopterus_sphinx","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_sphinx",91,73,10,"keep","keep",0,"yes"
"Cynopterus titthaecheilus","Cynopterus_titthaecheilus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_titthaecheilus",0,3,1,"keep","keep",1,"yes"
"Cyttarops alecto","Cyttarops_alecto","Cyttarops","EMBALLONURIDAE","Yangochiroptera","Cyttarops_alecto",0,0,0,"drop","drop",0,"yes"
"Dermanura anderseni","Dermanura_anderseni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_anderseni",0,1,0,"keep","drop",0,"yes"
"Dermanura aztecus","Dermanura_aztecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_aztecus",0,0,0,"drop","drop",1,"yes"
"Dermanura bogotensis","Dermanura_bogotensis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Dermanura cinereus","Dermanura_cinereus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_cinereus",13,0,0,"keep","keep",0,"yes"
"Dermanura glaucus","Dermanura_glaucus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_glaucus",3,0,0,"keep","keep",0,"yes"
"Dermanura gnomus","Dermanura_gnomus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_gnomus",0,0,0,"drop","drop",0,"yes"
"Dermanura incomitatus","Dermanura_incomitatus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_incomitatus",0,0,0,"drop","drop",NA,"yes"
"Dermanura phaeotis","Dermanura_phaeotis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_phaeotis",32,4,0,"keep","keep",0,"yes"
"Dermanura rava","Dermanura_rava","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Dermanura rosenbergii","Dermanura_rosenbergii","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Dermanura toltecus","Dermanura_toltecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_toltecus",7,0,0,"keep","keep",1,"yes"
"Dermanura watsoni","Dermanura_watsoni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_watsoni",0,2,0,"keep","drop",0,"yes"
"Desmalopex leucopterus","Desmalopex_leucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera","Pteropus_leucopterus",0,0,0,"drop","drop",0,"yes"
"Desmalopex microleucopterus","Desmalopex_microleucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Desmodus draculae","Desmodus_draculae","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Desmodus rotundus","Desmodus_rotundus","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera","Desmodus_rotundus",1113,388,141,"keep","keep",0,"yes"
"Diaemus youngi","Diaemus_youngi","Diaemus","PHYLLOSTOMIDAE","Yangochiroptera","Diaemus_youngi",9,13,1,"keep","keep",0,"yes"
"Diclidurus albus","Diclidurus_albus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_albus",2,0,0,"keep","keep",0,"yes"
"Diclidurus ingens","Diclidurus_ingens","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_ingens",0,0,0,"drop","drop",1,"yes"
"Diclidurus isabellus","Diclidurus_isabellus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_isabellus",0,0,0,"drop","drop",NA,"yes"
"Diclidurus scutatus","Diclidurus_scutatus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_scutatus",0,0,0,"drop","drop",0,"yes"
"Diphylla ecaudata","Diphylla_ecaudata","Diphylla","PHYLLOSTOMIDAE","Yangochiroptera","Diphylla_ecaudata",19,18,4,"keep","keep",1,"yes"
"Dobsonia anderseni","Dobsonia_anderseni","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_anderseni",2,0,0,"keep","keep",1,"yes"
"Dobsonia beauforti","Dobsonia_beauforti","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_beauforti",0,0,0,"drop","drop",0,"yes"
"Dobsonia chapmani","Dobsonia_chapmani","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_chapmani",0,0,0,"drop","drop",0,"yes"
"Dobsonia crenulata","Dobsonia_crenulata","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_crenulata",0,0,0,"drop","drop",0,"yes"
"Dobsonia emersa","Dobsonia_emersa","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_emersa",0,0,0,"drop","drop",0,"yes"
"Dobsonia exoleta","Dobsonia_exoleta","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_exoleta",0,0,0,"drop","drop",0,"yes"
"Dobsonia inermis","Dobsonia_inermis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_inermis",0,0,0,"drop","drop",0,"yes"
"Dobsonia minor","Dobsonia_minor","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_minor",0,0,0,"drop","drop",0,"yes"
"Dobsonia moluccensis","Dobsonia_moluccensis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_moluccensis",36,2,1,"keep","keep",1,"yes"
"Dobsonia pannietensis","Dobsonia_pannietensis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_pannietensis",0,0,0,"drop","drop",0,"yes"
"Dobsonia peronii","Dobsonia_peronii","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_peronii",0,0,0,"drop","drop",0,"yes"
