"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
NA,"0",NA,1400,0,1400,1.5,1,"0","0",90,0,0,0,10,0,1,44.49,75205.95,-2.95,-11.85,-7.4,161.39,141.09,151.24,1,10.51,1,0.15,343.56,211.3,1663.23,1663.5,2,"A","2","Australasian",13.21,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",58.75,870,30,900,NA,1,"0","0",90,0,0,0,10,0,1,38.24,130634.93,-13.1,-25.6,-19.35,50.48,43.61,47.04,8,38.04,10,0.18,141.88,211.89,1185.9,1664.46,2,"A","2","Afrotropical",4.55,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",NA,1500,0,1500,NA,1,"0","0",90,0,0,0,10,0,1,41,150538.97,-0.62,-9.91,-5.27,153.01,135.37,144.19,1,13.27,2,0.1,312.79,195.68,1662.75,1682.18,2,"A","2","Australasian",4.31,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0",0,0
1,"1",53,1500,0,1500,0.99,0,"1","0",100,0,0,0,0,0,1,42.23,841946.43,27.13,9.36,18.24,-71.82,-110.03,-90.93,3,88.19,8,0.09,106.96,216.78,1061.85,1571.82,3,"A","1","Neotropical",6.57,100,0,0,"3",0,6,0,0,"1","0","0","0","0","0",0,0
NA,"0",NA,1600,0,1600,NA,1,"0","0",90,0,0,0,10,0,1,42.5,432542.2,2.22,-9.94,-3.86,161.39,118.75,140.07,1,44.26,2,0.1,257.66,222.55,1703.33,1726.73,2,"A","2","Australasian",5.61,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",NA,300,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213.29,-1.97,-3.58,-2.77,152.32,147.31,149.82,10,11.75,10,0.09,194,251,-999,-999,2,"A","2","Australasian",5.75,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",55,NA,NA,500,NA,0,"1","0",100,0,0,0,0,0,1,47,581976.9,12.55,-5.22,3.66,-47.41,-84.42,-65.92,0,4.07,0,0.1,157.02,251.18,1420.81,1663.41,2,"A","1","Neotropical",5.3,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",79,NA,NA,1000,NA,0,"0","0",100,0,0,0,0,0,1,54.5,2914021.53,7.02,-5.9,0.56,-46.56,-73.02,-59.79,0,2.92,0,0.11,187.24,254,1506.9,1637.51,2,"A","1","Neotropical",13.62,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",NA,450,0,450,NA,1,"1","0",90,0,0,0,10,0,1,45.99,1034172.29,18.65,-8.03,5.3,131.74,107.96,119.85,1,100,4,0.13,239.99,241.82,1651.05,1736.94,3,"A","2","Australasian, Indomalayan",5.25,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",59,NA,NA,NA,0.98,0,"0","0",100,0,0,0,0,0,1,45.5,5567605.79,11.59,-20.3,-4.35,-34.79,-69.86,-52.32,0,20.14,0,0.1,152.17,249.26,1338.85,1604.98,1,"A","1","Neotropical",23,100,0,0,"3",0,3,0,0,"1","0","0","0","0","0",0,0
1,"0",75.995,NA,NA,NA,1,0,"1","0",100,0,0,0,0,0,1,66,7898368.07,22.7,-17.72,2.48,-34.79,-105.7,-70.24,0,27.6,0,0.1,157.72,245.62,1334.46,1602.1,2,"A","1","Neotropical",18.5,100,0,0,"3",2,0,0,1,"1","0","0","0","0","0",1,1
NA,"0",59,500,0,500,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1484754.75,19.36,-5.26,7.04,-71.28,-96.4,-83.84,0,41.97,1,0.12,191.99,240.33,1418.49,1545.99,1,"A","1","Neotropical",23,100,0,0,"3",0,1,0,0,"1","0","0","0","0","0",0,0
NA,"1",53,1050,150,1200,NA,0,"0","0",100,0,0,0,0,0,1,38.99,68801.56,1.43,-2.73,-0.64,-78.29,-80.97,-79.63,0,83.28,9,0.11,121.57,242.2,1124.51,1461.07,2,"A","1","Neotropical",9.05,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0",0,0
NA,"0",43,NA,NA,NA,1,0,"1","0",100,0,0,0,0,0,1,35.49,8511305.96,12.46,-26.52,-7.02,-34.79,-84.36,-59.57,0,29.98,0,0.1,159.6,243.71,1347.92,1572.7,2,"A","1","Neotropical",3.15,100,0,0,"3",0,2,0,0,"0","0","0","0","0","0",0,0
