row,trainAUC,testAUC,spec,sen,best,n.trees,interaction.depth,shrinkage,seed,id,id2
1,0.9436162219615892,0.8987734487734489,0.9555555555555556,0.6103896103896104,7087,15000,2,0.001,1,15000 2 0.001,1
2,0.9390851781263745,0.9055555555555556,0.9166666666666666,0.7142857142857143,6341,15000,2,0.001,2,15000 2 0.001,1
3,0.9456916141328251,0.9095959595959595,0.9222222222222223,0.7402597402597403,7606,15000,2,0.001,3,15000 2 0.001,1
4,0.9355826674974345,0.9209235209235209,0.9388888888888889,0.7532467532467533,5963,15000,2,0.001,4,15000 2 0.001,1
5,0.9606477239407711,0.8624819624819625,0.9,0.6233766233766234,10648,15000,2,0.001,5,15000 2 0.001,1
6,0.9497301532033426,0.8760461760461761,0.9611111111111111,0.5324675324675324,7031,15000,2,0.001,6,15000 2 0.001,1
7,0.9400564433367542,0.937987012987013,0.9555555555555556,0.6883116883116883,7236,15000,2,0.001,7,15000 2 0.001,1
8,0.9537572386746811,0.9025974025974026,0.95,0.6883116883116883,9525,15000,2,0.001,8,15000 2 0.001,1
9,0.9406497397742266,0.9152236652236653,0.9611111111111111,0.6753246753246753,7102,15000,2,0.001,9,15000 2 0.001,1
10,0.9458496738014953,0.8887445887445887,0.9166666666666666,0.6753246753246753,6934,15000,2,0.001,10,15000 2 0.001,1
11,0.9447111860431022,0.898989898989899,0.9555555555555556,0.6233766233766234,14829,15000,2,5e-4,1,15000 2 5e-04,2
12,0.9403794348336022,0.9067821067821067,0.9166666666666666,0.7142857142857143,13259,15000,2,5e-4,2,15000 2 5e-04,2
13,0.9450318868201143,0.9105339105339106,0.9222222222222223,0.7402597402597403,14914,15000,2,5e-4,3,15000 2 5e-04,2
14,0.9394448211405952,0.9216450216450217,0.9388888888888889,0.7532467532467533,13785,15000,2,5e-4,4,15000 2 5e-04,2
15,0.9505364865855446,0.8638528138528139,0.9,0.5974025974025974,14984,15000,2,5e-4,5,15000 2 5e-04,2
16,0.9508800945609148,0.8753968253968255,0.9555555555555556,0.5324675324675324,14826,15000,2,5e-4,6,15000 2 5e-04,2
17,0.9405191687435859,0.9393578643578644,0.95,0.6883116883116883,14637,15000,2,5e-4,7,15000 2 5e-04,2
