"","tip","species","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","Synurbic","filter","vfilter"
"19","Antrozous_pallidus","Antrozous pallidus","Antrozous","VESPERTILIONIDAE","Yangochiroptera","Antrozous_pallidus",29,34,0,NA,"keep","keep"
"20","Aproteles_bulmerae","Aproteles bulmerae","Aproteles","PTEROPODIDAE","Yinpterochiroptera","Aproteles_bulmerae",0,0,0,NA,"drop","drop"
"21","Ardops_nichollsi","Ardops nichollsi","Ardops","PHYLLOSTOMIDAE","Yangochiroptera","Ardops_nichollsi",0,1,0,NA,"keep","drop"
"22","Arielulus_aureocollaris","Arielulus aureocollaris","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_aureocollaris",0,0,0,NA,"drop","drop"
"23","Arielulus_circumdatus","Arielulus circumdatus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_circumdatus",0,0,0,NA,"drop","drop"
"24","Arielulus_cuprosus","Arielulus cuprosus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_cuprosus",0,0,0,NA,"drop","drop"
"25","Arielulus_societatis","Arielulus societatis","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_societatis",0,0,0,NA,"drop","drop"
"26","Arielulus_torquatus","Arielulus torquatus","Arielulus","VESPERTILIONIDAE","Yangochiroptera","Arielulus_torquatus",0,0,0,NA,"drop","drop"
"27","Ariteus_flavescens","Ariteus flavescens","Ariteus","PHYLLOSTOMIDAE","Yangochiroptera","Ariteus_flavescens",0,0,0,NA,"drop","drop"
"28","Artibeus_amplus","Artibeus amplus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_amplus",0,1,0,NA,"keep","drop"
"29","Artibeus_concolor","Artibeus concolor","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_concolor",0,0,0,NA,"drop","drop"
"30","Artibeus_fimbriatus","Artibeus fimbriatus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_fimbriatus",11,5,2,NA,"keep","keep"
"31","Artibeus_fraterculus","Artibeus fraterculus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_fraterculus",0,1,0,NA,"keep","drop"
"32","Artibeus_hirsutus","Artibeus hirsutus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_hirsutus",0,3,0,NA,"keep","drop"
"33","Artibeus_inopinatus","Artibeus inopinatus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_inopinatus",0,0,0,NA,"drop","drop"
"34","Artibeus_jamaicensis","Artibeus jamaicensis","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_jamaicensis",93,104,27,0,"keep","keep"
"35","Artibeus_lituratus","Artibeus lituratus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_lituratus",332,111,21,1,"keep","keep"
"36","Artibeus_obscurus","Artibeus obscurus","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_obscurus",16,9,1,NA,"keep","keep"
"37","Artibeus_planirostris","Artibeus planirostris","Artibeus","PHYLLOSTOMIDAE","Yangochiroptera",NA,65,39,9,NA,"keep","keep"
"38","Asellia_arabica","Asellia arabica","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,NA,"drop","drop"
"39","Asellia_patrizii","Asellia patrizii","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera","Asellia_patrizii",0,0,0,NA,"drop","drop"
"40","Asellia_tridens","Asellia tridens","Asellia","HIPPOSIDERIDAE","Yinpterochiroptera","Asellia_tridens",0,5,0,0,"keep","drop"
"41","Aselliscus_stoliczkanus","Aselliscus stoliczkanus","Aselliscus","HIPPOSIDERIDAE","Yinpterochiroptera","Aselliscus_stoliczkanus",23,12,3,NA,"keep","keep"
"42","Aselliscus_tricuspidatus","Aselliscus tricuspidatus","Aselliscus","HIPPOSIDERIDAE","Yinpterochiroptera","Aselliscus_tricuspidatus",0,0,0,NA,"drop","drop"
