"","icnames","species","pcnames","ccnames","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete","iucn2020_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","zvirus","category","population_trend"
"125","Cynomops planirostris","Cynomops planirostris","Cynomops planirostris","Cynomops planirostris","Cynomops_planirostris","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_planirostris",10,3,0,"keep","keep",1,"yes","Cynomops planirostris",12.84,0.185,66,31.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",1,11408256.94,12.46,-29.32,-8.43,-34.79,-80.93,-57.86,0,15.9,0,0.11,149.25,243.33,1296.32,1538.29,1,"LC","Unknown"
"126","Cynopterus brachyotis","Cynopterus brachyotis","Cynopterus brachyotis","Cynopterus brachyotis","Cynopterus_brachyotis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_brachyotis",52,46,9,"keep","keep",0,"yes","Cynopterus brachyotis",37.4,0.88,112.995,64.21,3686.5,251.71,251.71,525,368.77,120,NA,1.1,2,NA,11,42,25,1287.664,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1600,0,1600,NA,NA,NA,NA,"Indomalayan",2,2220429.06,27.65,-4.18,11.73,126.6,74.37,100.48,0,190.51,4,0.12,195.98,244.45,1328.22,1611.42,5,"LC","Unknown"
"127","Cynopterus horsfieldii","Cynopterus horsfieldii","Cynopterus horsfieldii","Cynopterus horsfieldii","Cynopterus_horsfieldii","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_horsfieldii",4,0,0,"keep","keep",0,"yes","Cynopterus horsfieldii",56.955,1.23,NA,73.52,942.917,380.478,213.08,547.875,365.28,152.2,NA,2,NA,NA,NA,40,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1460,0,1460,1,NA,1,0,"Australasian, Indomalayan",3,1048657.06,14.54,-8.78,2.88,117.74,95.18,106.46,1,192.4,4,0.12,239.19,246.32,1647.57,1739.99,0,"LC","Unknown"
"128","Cynopterus luzoniensis","Cynopterus luzoniensis","Cynopterus luzoniensis","Cynopterus luzoniensis","Cynopterus_luzoniensis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_luzoniensis",0,0,0,"drop","drop",NA,"yes","Cynopterus luzoniensis",37.2,NA,98.99,NA,3686.5,362.928,200.855,525,320.855,120,NA,1,2,NA,8.6,45.495,25,NA,NA,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,1600,0,1600,NA,NA,NA,NA,"Australasian, Indomalayan",2,170486.35,1.75,-5.7,-1.97,125.24,118.75,121.99,17,96.75,17,0.08,229.41,215.47,1812.6,1909.15,0,"LC","Stable"
"129","Cynopterus minutus","Cynopterus minutus","Cynopterus minutus","Cynopterus minutus","Cynopterus_minutus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_minutus",0,0,0,"drop","drop",NA,"yes","Cynopterus minutus",37.3,NA,112.995,NA,3686.5,388.355,251.71,525,371.71,120,NA,1.1,2,NA,11,42,25,NA,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,1,0,"Australasian, Indomalayan",2,1467026.28,7.03,-8.78,-0.87,125.24,95.18,110.21,1,138.87,4,0.14,241.44,243.51,1673.7,1739.15,0,"LC","Decreasing"
"130","Cynopterus nusatenggara","Cynopterus nusatenggara","Cynopterus nusatenggara","Cynopterus nusatenggara","Cynopterus_nusatenggara","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_nusatenggara",0,0,0,"drop","drop",NA,"yes","Cynopterus nusatenggara",36.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Australasian",2,51558.74,-7.55,-10.32,-8.93,126.84,114.43,120.63,19,143.51,19,0.06,241.32,239.33,NA,NA,0,"LC","Stable"
"131","Cynopterus sphinx","Cynopterus sphinx","Cynopterus sphinx","Cynopterus sphinx","Cynopterus_sphinx","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_sphinx",55,73,10,"keep","keep",1,"yes","Cynopterus sphinx",37.4,1.061,112.995,71,3686.5,312.99,251.71,525,319.37,120,NA,1.1,2,NA,11,42,25,1285.253,NA,NA,0,2,NA,1,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,400,0,400,0,NA,1,0,"Indomalayan",2,5648557.98,33.2,-5.94,13.63,119.33,67.57,93.45,1,242.36,10,0.09,138.22,233.8,1018.32,1479.68,11,"LC","Increasing"
"132","Cynopterus titthaecheilus","Cynopterus titthaecheilus","Cynopterus titthaecheilus","Cynopterus titthaecheilus","Cynopterus_titthaecheilus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_titthaecheilus",0,3,1,"keep","keep",1,"yes","Cynopterus titthaecheilus",41.055,NA,112.995,76.94,3686.5,388.355,251.71,525,371.71,120,NA,1,2,NA,11,42,25,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,800,0,800,1,NA,1,0,"Australasian, Indomalayan",2,592527.99,5.65,-10.37,-2.35,127.3,95.18,111.24,20,274.42,32,0.11,216.37,250.45,1645.26,1752.83,0,"LC","Stable"
"133","Cyttarops alecto","Cyttarops alecto","Cyttarops alecto","Cyttarops alecto","Cyttarops_alecto","Cyttarops","EMBALLONURIDAE","Yangochiroptera","Cyttarops_alecto",0,0,0,"drop","drop",0,"yes","Cyttarops alecto",5.3,0.175,55,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,500,NA,NA,0,NA,1,0,"Neotropical",2,581976.9,12.55,-5.22,3.66,-47.41,-84.42,-65.92,0,4.07,0,0.1,157.02,251.18,1420.81,1663.41,0,"LC","Unknown"
"134","Dermanura anderseni","Dermanura anderseni","Dermanura anderseni","Dermanura anderseni","Dermanura_anderseni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_anderseni",0,1,0,"keep","drop",0,"yes","Dermanura anderseni",6.91,NA,NA,35.49,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1300,NA,NA,0,NA,1,0,"Neotropical",1,3362837.2,0.71,-18.71,-9,-58.59,-77.93,-68.26,0,4.26,0,0.15,178.8,240.02,1384.93,1521.56,0,"LC","Unknown"
"135","Dermanura aztecus","Dermanura aztecus","Dermanura aztecus","Dermanura aztecus","Dermanura_aztecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_aztecus",0,0,0,"drop","drop",1,"yes","Dermanura aztecus",16.755,NA,75,44.36,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,3000,600,2400,0,NA,1,0,"Neotropical",2,572771.69,24.48,8.35,16.41,-82.71,-106.78,-94.74,4,88.99,9,0.09,99.95,204.17,999.1,1524.63,0,"LC","Unknown"
"136","Dermanura bogotensis","Dermanura bogotensis","Dermanura bogotensis","Dermanura bogotensis","Dermanura_bogotensis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Dermanura bogotensis",12.505,0.476,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,2600,100,2500,0,NA,0,0,"Neotropical",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"LC","Stable"
"137","Dermanura cinereus","Dermanura cinereus","Dermanura cinereus","Dermanura cinereus","Dermanura_cinereus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_cinereus",13,0,0,"keep","keep",0,"yes","Dermanura cinereus",12.7,0.468,NA,38.99,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",3,1835095.13,12.23,-1.38,5.42,-49.88,-71.58,-60.73,0,19.68,0,0.13,150.84,250.38,1445.86,1710.31,4,"LC","Unknown"
"138","Dermanura glaucus","Dermanura glaucus","Dermanura glaucus","Dermanura glaucus","Dermanura_glaucus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_glaucus",3,0,0,"keep","keep",0,"yes","Dermanura glaucus",12.505,0.476,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",1,10710294.79,8.96,-24.02,-7.53,-34.79,-81.35,-58.07,0,21.52,0,0.12,153.88,239.21,1289.11,1536.25,0,"LC","Unknown"
"139","Dermanura gnomus","Dermanura gnomus","Dermanura gnomus","Dermanura gnomus","Dermanura_gnomus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_gnomus",0,0,0,"drop","drop",0,"yes","Dermanura gnomus",12.31,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,800,NA,NA,NA,NA,NA,NA,"Neotropical",1,8185856.09,12.46,-15.28,-1.41,-34.79,-80.09,-57.44,0,18.14,0,0.12,163.49,243.19,1305.44,1538.58,0,"LC","Unknown"
"140","Dermanura phaeotis","Dermanura phaeotis","Dermanura phaeotis","Dermanura phaeotis","Dermanura_phaeotis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_phaeotis",29,4,0,"keep","keep",0,"yes","Dermanura phaeotis",11.69,0.448,57.25,38.55,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,2.52,NA,7.59,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1200,NA,NA,0,NA,1,0,"Neotropical",2,1156701.32,24.53,-2.73,10.89,-75.6,-107.37,-91.49,1,51.66,3,0.13,162.28,228.79,1246.06,1593.77,6,"LC","Stable"
"141","Dermanura rava","Dermanura rava","Dermanura rava","Dermanura rava","Dermanura_rava","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes","Dermanura rava",11.69,0.448,57.25,38.55,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,2.52,NA,7.59,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,2050,0,2050,0,NA,1,0,"Nearctic",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"LC","Stable"
"142","Dermanura rosenbergii","Dermanura rosenbergii","Dermanura rosenbergii","Dermanura rosenbergii","Dermanura_rosenbergii","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Dermanura rosenbergii",10.2,0.476,47,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,20,0,80,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1000,0,1000,0,NA,0,0,"Neotropical",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"DD","Unknown"
"143","Dermanura toltecus","Dermanura toltecus","Dermanura toltecus","Dermanura toltecus","Dermanura_toltecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_toltecus",7,0,0,"keep","keep",1,"yes","Dermanura toltecus",14.085,0.544,65,39.5,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",3,1039041.68,26.74,1.03,13.89,-76.09,-109.43,-92.76,2,67.8,5,0.09,138.84,215.72,1112.27,1568.62,2,"LC","Unknown"
"144","Dermanura watsoni","Dermanura watsoni","Dermanura watsoni","Dermanura watsoni","Dermanura_watsoni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_watsoni",0,2,0,"keep","drop",0,"yes","Dermanura watsoni",12.31,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,800,NA,NA,0,NA,1,0,"Neotropical",2,415964.09,19.12,7.2,13.16,-77.19,-95.55,-86.37,2,36.81,3,0.15,185.4,242.27,1374.71,1643.46,0,"LC","Stable"
"145","Dermanura watsoni","Dermanura incomitatus","Dermanura watsoni","Dermanura watsoni","Dermanura_incomitatus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_incomitatus",0,0,0,"drop","drop",0,"yes","Dermanura watsoni",12.31,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ar",1,0,0,0,1,800,NA,NA,0,NA,1,0,"Neotropical",2,415964.09,19.12,7.2,13.16,-77.19,-95.55,-86.37,2,36.81,3,0.15,185.4,242.27,1374.71,1643.46,0,"LC","Stable"
"146","Desmalopex leucopterus","Desmalopex leucopterus","Desmalopex leucopterus","Desmalopex leucopterus","Desmalopex_leucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera","Pteropus_leucopterus",0,0,0,"drop","drop",0,"yes","Desmalopex leucopterus",343.81,NA,NA,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,NA,0,0,"Indomalayan",1,107982.23,18.65,9.81,14.23,125.7,119.74,122.72,19,296.61,30,0.08,238.29,240.72,1367.82,1715.75,0,NA,NA
"147","Desmalopex microleucopterus","Desmalopex microleucopterus","Desmalopex microleucopterus","Desmalopex microleucopterus","Desmalopex_microleucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",NA,"yes","Desmalopex microleucopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"EN","Decreasing"
"148","Desmodus draculae","Desmodus draculae","Desmodus draculae","Desmodus draculae","Desmodus_draculae","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"149","Desmodus rotundus","Desmodus rotundus","Desmodus rotundus","Desmodus rotundus","Desmodus_rotundus","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera","Desmodus_rotundus",355,388,141,"keep","keep",0,"yes","Desmodus rotundus",33.18,0.882,85.5,58.29,10658,285,285,285,285,189,NA,1,1.26,288.777,8,274,NA,2779.798,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",1,0,0,0,1,2400,NA,NA,0,NA,1,0,"Nearctic, Neotropical",3,17803912.83,28.12,-34.94,-3.4,-34.79,-110.9,-72.84,0,28.84,0,0.1,130.09,216.33,1157.17,1460.68,9,"LC","Stable"
"150","Diaemus youngi","Diaemus youngi","Diaemus youngi","Diaemus youngi","Diaemus_youngi","Diaemus","PHYLLOSTOMIDAE","Yangochiroptera","Diaemus_youngi",8,13,1,"keep","keep",0,"yes","Diaemus youngi",36.6,0.97,115,50.78,7300,NA,NA,NA,NA,258.74,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",3,13545719.31,23.86,-30.24,-3.19,-34.79,-99.59,-67.19,0,25.3,0,0.11,150.09,237.93,1291.37,1525.36,1,"LC","Unknown"
"151","Diclidurus albus","Diclidurus albus","Diclidurus albus","Diclidurus albus","Diclidurus_albus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_albus",2,0,0,"keep","keep",0,"yes","Diclidurus albus",18.5,NA,75.995,66,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.51,NA,NA,NA,NA,NA,NA,2,NA,1,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",2,7898368.07,22.7,-17.72,2.48,-34.79,-105.7,-70.24,0,27.6,0,0.1,157.72,245.62,1334.46,1602.1,1,"LC","Unknown"
"152","Diclidurus ingens","Diclidurus ingens","Diclidurus ingens","Diclidurus ingens","Diclidurus_ingens","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_ingens",0,0,0,"drop","drop",1,"yes","Diclidurus ingens",12.3,NA,79,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",2,2138238,9.38,-6.52,1.42,-58.32,-75.61,-66.97,0,1.77,0,0.12,196.17,252.94,1531.19,1607.22,0,"DD","Unknown"
"153","Diclidurus isabellus","Diclidurus isabellus","Diclidurus isabellus","Diclidurus isabellus","Diclidurus_isabellus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_isabellus",0,0,0,"drop","drop",NA,"yes","Diclidurus isabellus",12.61,NA,79,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",2,710901.14,6.15,-7.31,-0.57,-60.45,-67.65,-64.05,0,1.71,0,0.07,181.99,253.5,1581.15,1652.52,0,"LC","Unknown"
"154","Diclidurus scutatus","Diclidurus scutatus","Diclidurus scutatus","Diclidurus scutatus","Diclidurus_scutatus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_scutatus",0,0,0,"drop","drop",0,"yes","Diclidurus scutatus",13.62,NA,79,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1000,NA,NA,0,NA,0,0,"Neotropical",2,2914021.53,7.02,-5.9,0.56,-46.56,-73.02,-59.79,0,2.92,0,0.11,187.24,254,1506.9,1637.51,0,"LC","Unknown"
"155","Diphylla ecaudata","Diphylla ecaudata","Diphylla ecaudata","Diphylla ecaudata","Diphylla_ecaudata","Diphylla","PHYLLOSTOMIDAE","Yangochiroptera","Diphylla_ecaudata",17,18,4,"keep","keep",1,"yes","Diphylla ecaudata",28.11,0.802,82.495,54.99,2974.75,273.96,NA,NA,NA,213.08,NA,1,1.5,NA,4.8,NA,NA,NA,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",1,0,0,0,1,1900,NA,NA,0,NA,1,0,"Nearctic, Neotropical",4,8019521.93,30.35,-24.7,2.82,-35.16,-102.67,-68.91,0,33.37,0,0.12,141.74,237.62,1227.21,1500.76,1,"LC","Stable"
"156","Dobsonia anderseni","Dobsonia anderseni","Dobsonia anderseni","Dobsonia anderseni","Dobsonia_anderseni","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_anderseni",2,0,0,"keep","keep",1,"yes","Dobsonia anderseni",312.4,NA,214.115,122.55,4492.542,714.83,714.83,NA,871.26,156.43,NA,0.99,1,NA,64.45,173.1,162,NA,NA,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,1500,0,1500,1,NA,0,0,"Australasian",3,22628.33,-1.31,-6.13,-3.72,153.33,145.88,149.6,8,11.87,9,0.11,204.26,244.73,1653,1653,1,"LC","Stable"
"157","Dobsonia beauforti","Dobsonia beauforti","Dobsonia beauforti","Dobsonia beauforti","Dobsonia_beauforti","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_beauforti",0,0,0,"drop","drop",0,"yes","Dobsonia beauforti",165.35,NA,161.28,105.74,NA,NA,NA,NA,NA,NA,NA,0.99,1,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,0,0,"Australasian",3,7965.78,0.04,-1.36,-0.66,136.38,129.27,132.83,5,15.24,5,0.07,222.99,258.66,NA,NA,0,"LC","Unknown"
"158","Dobsonia chapmani","Dobsonia chapmani","Dobsonia chapmani","Dobsonia chapmani","Dobsonia_chapmani","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_chapmani",0,0,0,"drop","drop",0,"yes","Dobsonia chapmani",269.61,NA,202.74,127.5,1061.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2190,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,860,0,860,NA,NA,NA,NA,"Indomalayan",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"CR","Decreasing"
"159","Dobsonia crenulata","Dobsonia crenulata","Dobsonia crenulata","Dobsonia crenulata","Dobsonia_crenulata","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_crenulata",0,0,0,"drop","drop",0,"yes","Dobsonia crenulata",229.435,NA,178.14,122.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,1000,0,1000,1,NA,0,0,"Australasian",4,25941.38,3.74,-1.74,0.99,128.9,125.35,127.13,5,45.72,5,0.04,201.4,250,NA,NA,0,"LC","Stable"
"160","Dobsonia emersa","Dobsonia emersa","Dobsonia emersa","Dobsonia emersa","Dobsonia_emersa","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_emersa",0,0,0,"drop","drop",0,"yes","Dobsonia emersa",201.06,NA,164.32,115.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,0,0,"Australasian",2,2639.5,-0.62,-1.52,-1.07,136.38,135.1,135.74,2,25.57,2,0.06,223,255,NA,NA,0,"VU","Unknown"
"161","Dobsonia exoleta","Dobsonia exoleta","Dobsonia exoleta","Dobsonia exoleta","Dobsonia_exoleta","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_exoleta",0,0,0,"drop","drop",0,"yes","Dobsonia exoleta",302.03,NA,202.74,114.76,1061.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,1,0,"Australasian",3,174051.74,1.75,-5.7,-1.97,126.07,118.75,122.41,5,92.77,17,0.08,229.47,215.95,1812.6,1909.15,0,"LC","Unknown"
"162","Dobsonia inermis","Dobsonia inermis","Dobsonia inermis","Dobsonia inermis","Dobsonia_inermis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_inermis",0,0,0,"drop","drop",0,"yes","Dobsonia inermis",152.6,2.7,173.98,107.25,NA,NA,NA,NA,NA,NA,NA,0.99,2,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1300,0,1300,1,NA,0,0,"Australasian",3,34503.07,-5,-11.85,-8.42,162.39,154.51,158.45,13,14.02,13,0.17,192.96,262,NA,NA,0,"LC","Stable"
