"","species","gen","fam","clade","MSW3_sciName_matched","tip","vfam","Virus","dum_virus","zoo_sp","zfam","dum_zvirus"
"178","Emballonura beccarii","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_beccarii","Emballonura_beccarii",0,0,0,0,0,0
"179","Emballonura dianae","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_dianae","Emballonura_dianae",0,0,0,0,0,0
"180","Emballonura furax","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_furax","Emballonura_furax",0,0,0,0,0,0
"181","Emballonura monticola","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_monticola","Emballonura_monticola",0,0,0,0,0,0
"182","Emballonura raffrayana","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_raffrayana","Emballonura_raffrayana",0,0,0,0,0,0
"183","Emballonura semicaudata","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_semicaudata","Emballonura_semicaudata",0,0,0,0,0,0
"184","Emballonura serii","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_serii","Emballonura_serii",0,0,0,0,0,0
"185","Emballonura tiavato","Emballonura","EMBALLONURIDAE","Yangochiroptera",NA,"Emballonura_tiavato",0,0,0,0,0,0
"186","Enchisthenes hartii","Enchisthenes","PHYLLOSTOMIDAE","Yangochiroptera","Enchisthenes_hartii","Enchisthenes_hartii",0,0,0,0,0,0
"187","Eonycteris major","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_major","Eonycteris_major",0,0,0,0,0,0
"188","Eonycteris robusta","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_robusta","Eonycteris_robusta",0,0,0,0,0,0
"189","Eonycteris spelaea","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_spelaea","Eonycteris_spelaea",16,35,1,8,7,1
"190","Epomophorus angolensis","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_angolensis","Epomophorus_angolensis",0,0,0,0,0,0
"191","Epomophorus anselli","Epomophorus","PTEROPODIDAE","Yinpterochiroptera",NA,"Epomophorus_anselli",0,0,0,0,0,0
"192","Epomophorus crypturus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_crypturus","Epomophorus_crypturus",0,0,0,0,0,0
"193","Epomophorus gambianus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_gambianus","Epomophorus_gambianus",2,5,1,0,0,0
"194","Epomophorus grandis","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_grandis","Epomophorus_grandis",0,0,0,0,0,0
"195","Epomophorus labiatus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_labiatus","Epomophorus_labiatus",3,4,1,2,2,1
"196","Epomophorus minimus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_minimus","Epomophorus_minimus",0,0,0,0,0,0
"197","Epomophorus wahlbergi","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_wahlbergi","Epomophorus_wahlbergi",2,3,1,1,1,1
"198","Epomops buettikoferi","Epomops","PTEROPODIDAE","Yinpterochiroptera","Epomops_buettikoferi","Epomops_buettikoferi",1,1,1,0,0,0
"199","Epomops dobsonii","Epomops","PTEROPODIDAE","Yinpterochiroptera","Epomops_dobsonii","Epomops_dobsonii",1,1,1,1,1,1
"200","Epomops franqueti","Epomops","PTEROPODIDAE","Yinpterochiroptera","Epomops_franqueti","Epomops_franqueti",7,13,1,4,4,1
"201","Eptesicus andinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_andinus","Eptesicus_andinus",0,0,0,0,0,0
"202","Eptesicus bobrinskoi","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_bobrinskoi","Eptesicus_bobrinskoi",0,0,0,0,0,0
"203","Eptesicus bottae","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_bottae","Eptesicus_bottae",0,0,0,0,0,0
"204","Eptesicus brasiliensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_brasiliensis","Eptesicus_brasiliensis",1,1,1,1,1,1
"205","Eptesicus chiriquinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_chiriquinus","Eptesicus_chiriquinus",0,0,0,0,0,0
"206","Eptesicus diminutus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_diminutus","Eptesicus_diminutus",2,2,1,1,1,1
"207","Eptesicus dimissus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_dimissus","Eptesicus_dimissus",0,0,0,0,0,0
"208","Eptesicus floweri","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_floweri","Eptesicus_floweri",0,0,0,0,0,0
"209","Eptesicus furinalis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_furinalis","Eptesicus_furinalis",4,4,1,1,1,1
"210","Eptesicus fuscus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_fuscus","Eptesicus_fuscus",11,16,1,3,3,1
"211","Eptesicus gobiensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_gobiensis","Eptesicus_gobiensis",0,0,0,0,0,0
"212","Eptesicus guadeloupensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_guadeloupensis","Eptesicus_guadeloupensis",0,0,0,0,0,0
"213","Eptesicus hottentotus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_hottentotus","Eptesicus_hottentotus",1,1,1,0,0,0
"214","Eptesicus innoxius","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_innoxius","Eptesicus_innoxius",0,0,0,0,0,0
"215","Eptesicus isabellinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera",NA,"Eptesicus_isabellinus",4,12,1,1,1,1
"216","Eptesicus japonensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_japonensis","Eptesicus_japonensis",2,3,1,0,0,0
"217","Eptesicus kobayashii","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_kobayashii","Eptesicus_kobayashii",0,0,0,0,0,0
"218","Eptesicus lobatus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera",NA,"Eptesicus_lobatus",0,0,0,0,0,0
"219","Eptesicus nasutus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_nasutus","Eptesicus_nasutus",0,0,0,0,0,0
"220","Eptesicus nilssonii","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_nilssonii","Eptesicus_nilssonii",6,7,1,0,0,0
"221","Eptesicus pachyomus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera",NA,"Eptesicus_pachyomus",1,1,1,1,1,1
"222","Eptesicus pachyotis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_pachyotis","Eptesicus_pachyotis",0,0,0,0,0,0
"223","Eptesicus platyops","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_platyops","Eptesicus_platyops",0,0,0,0,0,0
"224","Eptesicus serotinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_serotinus","Eptesicus_serotinus",16,25,1,6,5,1
"225","Eptesicus tatei","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_tatei","Eptesicus_tatei",0,0,0,0,0,0
"226","Erophylla bombifrons","Erophylla","PHYLLOSTOMIDAE","Yangochiroptera","Erophylla_bombifrons","Erophylla_bombifrons",0,0,0,0,0,0
"227","Erophylla sezekorni","Erophylla","PHYLLOSTOMIDAE","Yangochiroptera","Erophylla_sezekorni","Erophylla_sezekorni",0,0,0,0,0,0
"228","Euderma maculatum","Euderma","VESPERTILIONIDAE","Yangochiroptera","Euderma_maculatum","Euderma_maculatum",1,1,1,1,1,1
"229","Eudiscoderma thongareeae","Eudiscoderma","VESPERTILIONIDAE","Yangochiroptera",NA,"Eudiscoderma_thongareeae",0,0,0,0,0,0
"230","Eudiscopus denticulus","Eudiscopus","VESPERTILIONIDAE","Yangochiroptera","Eudiscopus_denticulus","Eudiscopus_denticulus",0,0,0,0,0,0
"231","Eumops auripendulus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_auripendulus","Eumops_auripendulus",1,1,1,1,1,1
"232","Eumops bonariensis","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_bonariensis","Eumops_bonariensis",4,7,1,1,1,1
"233","Eumops chiribaya","Eumops","MOLOSSIDAE","Yangochiroptera",NA,"Eumops_chiribaya",0,0,0,0,0,0
"234","Eumops dabbenei","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_dabbenei","Eumops_dabbenei",0,0,0,0,0,0
"235","Eumops ferox","Eumops","MOLOSSIDAE","Yangochiroptera",NA,"Eumops_ferox",0,0,0,0,0,0
"236","Eumops floridanus","Eumops","MOLOSSIDAE","Yangochiroptera",NA,"Eumops_floridanus",0,0,0,0,0,0
"237","Eumops glaucinus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_glaucinus","Eumops_glaucinus",1,1,1,1,1,1
"238","Eumops hansae","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_hansae","Eumops_hansae",0,0,0,0,0,0
"239","Eumops maurus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_maurus","Eumops_maurus",0,0,0,0,0,0
"240","Eumops patagonicus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_patagonicus","Eumops_patagonicus",1,1,1,1,1,1
"241","Eumops perotis","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_perotis","Eumops_perotis",1,1,1,1,1,1
"242","Eumops trumbulli","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_trumbulli","Eumops_trumbulli",0,0,0,0,0,0
"243","Eumops underwoodi","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_underwoodi","Eumops_underwoodi",0,0,0,0,0,0
"244","Eumops wilsoni","Eumops","MOLOSSIDAE","Yangochiroptera",NA,"Eumops_wilsoni",0,0,0,0,0,0
"245","Falsistrellus affinis","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_affinis","Falsistrellus_affinis",0,0,0,0,0,0
"246","Falsistrellus mackenziei","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_mackenziei","Falsistrellus_mackenziei",1,1,1,0,0,0
"247","Falsistrellus mordax","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_mordax","Falsistrellus_mordax",0,0,0,0,0,0
"248","Falsistrellus petersi","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_petersi","Falsistrellus_petersi",0,0,0,0,0,0
"249","Falsistrellus tasmaniensis","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_tasmaniensis","Falsistrellus_tasmaniensis",0,0,0,0,0,0
"250","Furipterus horrens","Furipterus","FURIPTERIDAE","Yangochiroptera","Furipterus_horrens","Furipterus_horrens",0,0,0,0,0,0
"251","Glauconycteris alboguttata","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_alboguttata","Glauconycteris_alboguttata",0,0,0,0,0,0
"252","Glauconycteris argentata","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_argentata","Glauconycteris_argentata",1,1,1,1,1,1
"253","Glauconycteris beatrix","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_beatrix","Glauconycteris_beatrix",0,0,0,0,0,0
"254","Glauconycteris curryae","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_curryae","Glauconycteris_curryae",0,0,0,0,0,0
"255","Glauconycteris egeria","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_egeria","Glauconycteris_egeria",0,0,0,0,0,0
"256","Glauconycteris gleni","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_gleni","Glauconycteris_gleni",0,0,0,0,0,0
"257","Glauconycteris humeralis","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_humeralis","Glauconycteris_humeralis",0,0,0,0,0,0
"258","Glauconycteris kenyacola","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_kenyacola","Glauconycteris_kenyacola",0,0,0,0,0,0
"259","Glauconycteris machadoi","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_machadoi","Glauconycteris_machadoi",0,0,0,0,0,0
"260","Glauconycteris poensis","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_poensis","Glauconycteris_poensis",0,0,0,0,0,0
"261","Glauconycteris superba","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_superba","Glauconycteris_superba",1,1,1,0,0,0
"262","Glauconycteris variegata","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_variegata","Glauconycteris_variegata",1,1,1,0,0,0
"263","Glischropus aquilus","Glischropus","VESPERTILIONIDAE","Yangochiroptera",NA,"Glischropus_aquilus",0,0,0,0,0,0
"264","Glischropus bucephalus","Glischropus","VESPERTILIONIDAE","Yangochiroptera",NA,"Glischropus_bucephalus",0,0,0,0,0,0
"265","Glischropus javanus","Glischropus","VESPERTILIONIDAE","Yangochiroptera","Glischropus_javanus","Glischropus_javanus",0,0,0,0,0,0
"266","Glischropus tylopus","Glischropus","VESPERTILIONIDAE","Yangochiroptera","Glischropus_tylopus","Glischropus_tylopus",0,0,0,0,0,0
"267","Glossophaga commissarisi","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_commissarisi","Glossophaga_commissarisi",1,1,1,0,0,0
"268","Glossophaga leachii","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_leachii","Glossophaga_leachii",1,1,1,0,0,0
"269","Glossophaga longirostris","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_longirostris","Glossophaga_longirostris",0,0,0,0,0,0
"270","Glossophaga morenoi","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_morenoi","Glossophaga_morenoi",1,1,1,0,0,0
"271","Glossophaga soricina","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_soricina","Glossophaga_soricina",8,13,1,3,3,1
"272","Glyphonycteris behnii","Glyphonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Glyphonycteris_behnii","Glyphonycteris_behnii",0,0,0,0,0,0
"273","Glyphonycteris daviesi","Glyphonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Glyphonycteris_daviesi","Glyphonycteris_daviesi",0,0,0,0,0,0
"274","Glyphonycteris sylvestris","Glyphonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Glyphonycteris_sylvestris","Glyphonycteris_sylvestris",0,0,0,0,0,0
"275","Haplonycteris fischeri","Haplonycteris","PTEROPODIDAE","Yinpterochiroptera","Haplonycteris_fischeri","Haplonycteris_fischeri",0,0,0,0,0,0
"276","Harpiocephalus harpia","Harpiocephalus","VESPERTILIONIDAE","Yangochiroptera","Harpiocephalus_harpia","Harpiocephalus_harpia",0,0,0,0,0,0
"277","Harpiocephalus mordax","Harpiocephalus","VESPERTILIONIDAE","Yangochiroptera","Harpiocephalus_mordax","Harpiocephalus_mordax",0,0,0,0,0,0
"278","Harpiola grisea","Harpiola","VESPERTILIONIDAE","Yangochiroptera",NA,"Harpiola_grisea",0,0,0,0,0,0
"279","Harpiola isodon","Harpiola","VESPERTILIONIDAE","Yangochiroptera",NA,"Harpiola_isodon",0,0,0,0,0,0
"280","Harpyionycteris celebensis","Harpyionycteris","PTEROPODIDAE","Yinpterochiroptera","Harpyionycteris_celebensis","Harpyionycteris_celebensis",0,0,0,0,0,0
"281","Harpyionycteris whiteheadi","Harpyionycteris","PTEROPODIDAE","Yinpterochiroptera","Harpyionycteris_whiteheadi","Harpyionycteris_whiteheadi",0,0,0,0,0,0
"282","Hesperoptenus blanfordi","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_blanfordi","Hesperoptenus_blanfordi",0,0,0,0,0,0
"283","Hesperoptenus doriae","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_doriae","Hesperoptenus_doriae",0,0,0,0,0,0
"284","Hesperoptenus gaskelli","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_gaskelli","Hesperoptenus_gaskelli",0,0,0,0,0,0
"285","Hesperoptenus tickelli","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_tickelli","Hesperoptenus_tickelli",0,0,0,0,0,0
"286","Hesperoptenus tomesi","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_tomesi","Hesperoptenus_tomesi",0,0,0,0,0,0
"287","Hipposideros abae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_abae","Hipposideros_abae",3,4,1,2,2,1
"288","Hipposideros alongensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Hipposideros_alongensis",0,0,0,0,0,0
"289","Hipposideros armiger","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_armiger","Hipposideros_armiger",18,45,1,8,8,1
"290","Hipposideros ater","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_ater","Hipposideros_ater",0,0,0,0,0,0
"291","Hipposideros beatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_beatus","Hipposideros_beatus",1,1,1,0,0,0
"292","Hipposideros bicolor","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_bicolor","Hipposideros_bicolor",1,1,1,0,0,0
"293","Hipposideros boeadii","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Hipposideros_boeadii",0,0,0,0,0,0
"294","Hipposideros breviceps","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_breviceps","Hipposideros_breviceps",0,0,0,0,0,0
"295","Hipposideros caffer","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_caffer","Hipposideros_caffer",11,31,1,7,5,1
"296","Hipposideros calcaratus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_calcaratus","Hipposideros_calcaratus",0,0,0,0,0,0
"297","Hipposideros camerunensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_camerunensis","Hipposideros_camerunensis",0,0,0,0,0,0
"298","Hipposideros cervinus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_cervinus","Hipposideros_cervinus",2,8,1,0,0,0
"299","Hipposideros cineraceus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_cineraceus","Hipposideros_cineraceus",2,3,1,0,0,0
"300","Hipposideros commersoni","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_commersoni","Hipposideros_commersoni",4,8,1,2,1,1
"301","Hipposideros coronatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_coronatus","Hipposideros_coronatus",0,0,0,0,0,0
"302","Hipposideros corynophyllus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_corynophyllus","Hipposideros_corynophyllus",0,0,0,0,0,0
"303","Hipposideros coxi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_coxi","Hipposideros_coxi",0,0,0,0,0,0
"304","Hipposideros crumeniferus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_crumeniferus","Hipposideros_crumeniferus",0,0,0,0,0,0
"305","Hipposideros curtus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_curtus","Hipposideros_curtus",0,0,0,0,0,0
"306","Hipposideros cyclops","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_cyclops","Hipposideros_cyclops",2,6,1,0,0,0
"307","Hipposideros demissus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_demissus","Hipposideros_demissus",0,0,0,0,0,0
"308","Hipposideros diadema","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_diadema","Hipposideros_diadema",4,8,1,0,0,0
"309","Hipposideros dinops","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_dinops","Hipposideros_dinops",0,0,0,0,0,0
"310","Hipposideros doriae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_doriae","Hipposideros_doriae",0,0,0,0,0,0
"311","Hipposideros durgadasi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_durgadasi","Hipposideros_durgadasi",0,0,0,0,0,0
"312","Hipposideros dyacorum","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_dyacorum","Hipposideros_dyacorum",0,0,0,0,0,0
"313","Hipposideros edwardshilli","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_edwardshilli","Hipposideros_edwardshilli",0,0,0,0,0,0
"314","Hipposideros einnaythu","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Hipposideros_einnaythu",0,0,0,0,0,0
"315","Hipposideros fuliginosus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_fuliginosus","Hipposideros_fuliginosus",1,1,1,0,0,0
"316","Hipposideros fulvus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_fulvus","Hipposideros_fulvus",0,0,0,0,0,0
"317","Hipposideros galeritus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_galeritus","Hipposideros_galeritus",3,6,1,0,0,0
"318","Hipposideros gigas","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_gigas","Hipposideros_gigas",8,14,1,0,0,0
"319","Hipposideros grandis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_grandis","Hipposideros_grandis",0,0,0,0,0,0
"320","Hipposideros griffini","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Hipposideros_griffini",0,0,0,0,0,0
"321","Hipposideros halophyllus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_halophyllus","Hipposideros_halophyllus",0,0,0,0,0,0
"322","Hipposideros hypophyllus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_hypophyllus","Hipposideros_hypophyllus",0,0,0,0,0,0
"323","Hipposideros inexpectatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_inexpectatus","Hipposideros_inexpectatus",0,0,0,0,0,0
"324","Hipposideros inornatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_inornatus","Hipposideros_inornatus",0,0,0,0,0,0
"325","Hipposideros jonesi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_jonesi","Hipposideros_jonesi",1,3,1,0,0,0
"326","Hipposideros khaokhouayensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Hipposideros_khaokhouayensis",0,0,0,0,0,0
"327","Hipposideros lamottei","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lamottei","Hipposideros_lamottei",0,0,0,0,0,0
"328","Hipposideros lankadiva","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lankadiva","Hipposideros_lankadiva",1,1,1,0,0,0
"329","Hipposideros larvatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_larvatus","Hipposideros_larvatus",18,39,1,8,8,1
"330","Hipposideros lekaguli","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lekaguli","Hipposideros_lekaguli",3,11,1,1,1,1
"331","Hipposideros lylei","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lylei","Hipposideros_lylei",0,0,0,0,0,0
"332","Hipposideros macrobullatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_macrobullatus","Hipposideros_macrobullatus",0,0,0,0,0,0
"333","Hipposideros madurae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_madurae","Hipposideros_madurae",0,0,0,0,0,0
"334","Hipposideros maggietaylorae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_maggietaylorae","Hipposideros_maggietaylorae",0,0,0,0,0,0
"335","Hipposideros marisae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_marisae","Hipposideros_marisae",0,0,0,0,0,0
"336","Hipposideros megalotis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_megalotis","Hipposideros_megalotis",0,0,0,0,0,0
"337","Hipposideros muscinus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_muscinus","Hipposideros_muscinus",0,0,0,0,0,0
"338","Hipposideros nequam","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_nequam","Hipposideros_nequam",0,0,0,0,0,0
"339","Hipposideros obscurus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_obscurus","Hipposideros_obscurus",0,0,0,0,0,0
"340","Hipposideros orbiculus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_orbiculus","Hipposideros_orbiculus",0,0,0,0,0,0
"341","Hipposideros papua","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_papua","Hipposideros_papua",0,0,0,0,0,0
"342","Hipposideros pelingensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pelingensis","Hipposideros_pelingensis",0,0,0,0,0,0
"343","Hipposideros pendelburyi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Hipposideros_pendelburyi",0,0,0,0,0,0
"344","Hipposideros pomona","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pomona","Hipposideros_pomona",18,33,1,9,9,1
"345","Hipposideros pratti","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pratti","Hipposideros_pratti",5,8,1,2,2,1
"346","Hipposideros pygmaeus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pygmaeus","Hipposideros_pygmaeus",0,0,0,0,0,0
"347","Hipposideros ridleyi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_ridleyi","Hipposideros_ridleyi",0,0,0,0,0,0
"348","Hipposideros rotalis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_rotalis","Hipposideros_rotalis",0,0,0,0,0,0
"349","Hipposideros ruber","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_ruber","Hipposideros_ruber",7,25,1,3,2,1
"350","Hipposideros scutinares","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_scutinares","Hipposideros_scutinares",0,0,0,0,0,0
"351","Hipposideros semoni","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_semoni","Hipposideros_semoni",0,0,0,0,0,0
"352","Hipposideros sorenseni","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_sorenseni","Hipposideros_sorenseni",0,0,0,0,0,0
