"","species","gen","fam","clade","MSW3_sciName_matched","tip","vfam","Virus","dum_virus","zoo_sp","zfam","dum_zvirus"
"42","Aselliscus tricuspidatus","Aselliscus","HIPPOSIDERIDAE","Yinpterochiroptera","Aselliscus_tricuspidatus","Aselliscus_tricuspidatus",0,0,0,0,0,0
"43","Balantiopteryx infusca","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_infusca","Balantiopteryx_infusca",0,0,0,0,0,0
"44","Balantiopteryx io","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_io","Balantiopteryx_io",0,0,0,0,0,0
"45","Balantiopteryx plicata","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_plicata","Balantiopteryx_plicata",0,0,0,0,0,0
"46","Balionycteris maculata","Balionycteris","PTEROPODIDAE","Yinpterochiroptera","Balionycteris_maculata","Balionycteris_maculata",1,1,1,1,1,1
"47","Barbastella barbastellus","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_barbastellus","Barbastella_barbastellus",3,3,1,1,1,1
"48","Barbastella beijingensis","Barbastella","VESPERTILIONIDAE","Yangochiroptera",NA,"Barbastella_beijingensis",0,0,0,0,0,0
"49","Barbastella leucomelas","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_leucomelas","Barbastella_leucomelas",0,0,0,0,0,0
"50","Bauerus dubiaquercus","Bauerus","VESPERTILIONIDAE","Yangochiroptera","Bauerus_dubiaquercus","Bauerus_dubiaquercus",1,2,1,0,0,0
"51","Brachyphylla cavernarum","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_cavernarum","Brachyphylla_cavernarum",0,0,0,0,0,0
"52","Brachyphylla nana","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_nana","Brachyphylla_nana",0,0,0,0,0,0
"53","Cardioderma cor","Cardioderma","MEGADERMATIDAE","Yinpterochiroptera","Cardioderma_cor","Cardioderma_cor",4,5,1,0,0,0
"54","Carollia benkeithi","Carollia","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Carollia_benkeithi",0,0,0,0,0,0
"55","Carollia brevicauda","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_brevicauda","Carollia_brevicauda",2,2,1,1,1,1
"56","Carollia castanea","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_castanea","Carollia_castanea",0,0,0,0,0,0
"57","Carollia manu","Carollia","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Carollia_manu",0,0,0,0,0,0
"58","Carollia perspicillata","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_perspicillata","Carollia_perspicillata",14,28,1,6,5,1
"59","Carollia sowelli","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_sowelli","Carollia_sowelli",2,5,1,0,0,0
"60","Carollia subrufa","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_subrufa","Carollia_subrufa",0,0,0,0,0,0
"61","Casinycteris argynnis","Casinycteris","PTEROPODIDAE","Yinpterochiroptera","Casinycteris_argynnis","Casinycteris_argynnis",1,1,1,1,1,1
"62","Casinycteris campomaanensis","Casinycteris","PTEROPODIDAE","Yinpterochiroptera",NA,"Casinycteris_campomaanensis",0,0,0,0,0,0
"63","Casinycteris ophiodon","Casinycteris","PTEROPODIDAE","Yinpterochiroptera","Scotonycteris_ophiodon","Casinycteris_ophiodon",0,0,0,0,0,0
"64","Centronycteris centralis","Centronycteris","EMBALLONURIDAE","Yangochiroptera","Centronycteris_centralis","Centronycteris_centralis",0,0,0,0,0,0
"65","Centronycteris maximiliani","Centronycteris","EMBALLONURIDAE","Yangochiroptera","Centronycteris_maximiliani","Centronycteris_maximiliani",0,0,0,0,0,0
"66","Centurio senex","Centurio","PHYLLOSTOMIDAE","Yangochiroptera","Centurio_senex","Centurio_senex",0,0,0,0,0,0
"67","Chaerephon aloysiisabaudiae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_aloysiisabaudiae","Chaerephon_aloysiisabaudiae",0,0,0,0,0,0
"68","Chaerephon ansorgei","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_ansorgei","Chaerephon_ansorgei",0,0,0,0,0,0
"69","Chaerephon atsinanana","Chaerephon","MOLOSSIDAE","Yangochiroptera",NA,"Chaerephon_atsinanana",0,0,0,0,0,0
"70","Chaerephon bemmeleni","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bemmeleni","Chaerephon_bemmeleni",0,0,0,0,0,0
"71","Chaerephon bivittatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bivittatus","Chaerephon_bivittatus",0,0,0,0,0,0
"72","Chaerephon bregullae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bregullae","Chaerephon_bregullae",0,0,0,0,0,0
"73","Chaerephon chapini","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_chapini","Chaerephon_chapini",0,0,0,0,0,0
"74","Chaerephon gallagheri","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_gallagheri","Chaerephon_gallagheri",0,0,0,0,0,0
"75","Chaerephon jobensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_jobensis","Chaerephon_jobensis",0,0,0,0,0,0
"76","Chaerephon johorensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_johorensis","Chaerephon_johorensis",0,0,0,0,0,0
"77","Chaerephon major","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_major","Chaerephon_major",0,0,0,0,0,0
"78","Chaerephon nigeriae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_nigeriae","Chaerephon_nigeriae",0,0,0,0,0,0
"79","Chaerephon plicatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_plicatus","Chaerephon_plicatus",5,7,1,1,1,1
"80","Chaerephon pumilus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_pumilus","Chaerephon_pumilus",7,18,1,3,3,1
"81","Chaerephon russatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_russatus","Chaerephon_russatus",0,0,0,0,0,0
"82","Chaerephon solomonis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_solomonis","Chaerephon_solomonis",0,0,0,0,0,0
"83","Chaerephon tomensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_tomensis","Chaerephon_tomensis",0,0,0,0,0,0
"84","Chalinolobus dwyeri","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_dwyeri","Chalinolobus_dwyeri",0,0,0,0,0,0
"85","Chalinolobus gouldii","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_gouldii","Chalinolobus_gouldii",5,7,1,1,1,1
"86","Chalinolobus morio","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_morio","Chalinolobus_morio",3,3,1,0,0,0
"87","Chalinolobus neocaledonicus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_neocaledonicus","Chalinolobus_neocaledonicus",0,0,0,0,0,0
"88","Chalinolobus nigrogriseus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_nigrogriseus","Chalinolobus_nigrogriseus",0,0,0,0,0,0
"89","Chalinolobus picatus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_picatus","Chalinolobus_picatus",0,0,0,0,0,0
"90","Chalinolobus tuberculatus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_tuberculatus","Chalinolobus_tuberculatus",10,23,1,0,0,0
"91","Cheiromeles parvidens","Cheiromeles","MOLOSSIDAE","Yangochiroptera","Cheiromeles_parvidens","Cheiromeles_parvidens",0,0,0,0,0,0
"92","Cheiromeles torquatus","Cheiromeles","MOLOSSIDAE","Yangochiroptera","Cheiromeles_torquatus","Cheiromeles_torquatus",0,0,0,0,0,0
"93","Chilonatalus micropus","Chilonatalus","NATALIDAE","Yangochiroptera","Chilonatalus_micropus","Chilonatalus_micropus",0,0,0,0,0,0
"94","Chilonatalus tumidifrons","Chilonatalus","NATALIDAE","Yangochiroptera","Chilonatalus_tumidifrons","Chilonatalus_tumidifrons",0,0,0,0,0,0
"95","Chiroderma doriae","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_doriae","Chiroderma_doriae",0,0,0,0,0,0
"96","Chiroderma improvisum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_improvisum","Chiroderma_improvisum",0,0,0,0,0,0
"97","Chiroderma salvini","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_salvini","Chiroderma_salvini",0,0,0,0,0,0
"98","Chiroderma trinitatum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_trinitatum","Chiroderma_trinitatum",0,0,0,0,0,0
"99","Chiroderma villosum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_villosum","Chiroderma_villosum",0,0,0,0,0,0
"100","Chiroderma vizottoi","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Chiroderma_vizottoi",0,0,0,0,0,0
"101","Chironax melanocephalus","Chironax","PTEROPODIDAE","Yinpterochiroptera","Chironax_melanocephalus","Chironax_melanocephalus",0,0,0,0,0,0
"102","Choeroniscus godmani","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_godmani","Choeroniscus_godmani",1,1,1,0,0,0
"103","Choeroniscus minor","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_minor","Choeroniscus_minor",0,0,0,0,0,0
"104","Choeroniscus periosus","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_periosus","Choeroniscus_periosus",0,0,0,0,0,0
"105","Choeronycteris mexicana","Choeronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Choeronycteris_mexicana","Choeronycteris_mexicana",0,0,0,0,0,0
"106","Chrotopterus auritus","Chrotopterus","PHYLLOSTOMIDAE","Yangochiroptera","Chrotopterus_auritus","Chrotopterus_auritus",1,1,1,1,1,1
