"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","seed","id","id2"
"1",1,0.96859097127223,0.925416133162612,0.976525821596244,0.590909090909091,8229,15000,2,0.001,1,"15000 2 0.001","1"
"2",2,0.96452804377565,0.935125906956893,0.995305164319249,0.522727272727273,7681,15000,2,0.001,2,"15000 2 0.001","1"
"3",3,0.970369357045144,0.923708920187793,0.976525821596244,0.659090909090909,9248,15000,2,0.001,3,"15000 2 0.001","1"
"4",4,0.966039671682627,0.942915066154503,0.967136150234742,0.681818181818182,8243,15000,2,0.001,4,"15000 2 0.001","1"
"5",5,0.974411764705882,0.918160478019633,0.971830985915493,0.545454545454545,10069,15000,2,0.001,5,"15000 2 0.001","1"
"6",6,0.964569083447332,0.924455825864277,0.957746478873239,0.659090909090909,7652,15000,2,0.001,6,"15000 2 0.001","1"
"7",7,0.96796853625171,0.933845497225779,0.953051643192488,0.590909090909091,8955,15000,2,0.001,7,"15000 2 0.001","1"
"8",8,0.965027359781122,0.93576611182245,0.962441314553991,0.704545454545455,8657,15000,2,0.001,8,"15000 2 0.001","1"
"9",9,0.970690834473324,0.900128040973111,0.962441314553991,0.5,8829,15000,2,0.001,9,"15000 2 0.001","1"
"10",10,0.964357045143639,0.94355527102006,0.990610328638498,0.636363636363636,8486,15000,2,0.001,10,"15000 2 0.001","1"
"11",11,0.96640218878249,0.925522833973538,0.976525821596244,0.613636363636364,14995,15000,2,5e-04,1,"15000 2 5e-04","2"
"12",12,0.963926128590971,0.935446009389671,0.990610328638498,0.522727272727273,14858,15000,2,5e-04,2,"15000 2 5e-04","2"
"13",13,0.965485636114911,0.922001707212975,0.976525821596244,0.659090909090909,14996,15000,2,5e-04,3,"15000 2 5e-04","2"
"14",14,0.963454172366621,0.943341869398207,0.971830985915493,0.681818181818182,14996,15000,2,5e-04,4,"15000 2 5e-04","2"
