Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,Order,Family,BM,BR,Diet,WA,LS,AspectRatio,Synurbic,UrbanStatus
Ardops_nichollsi,Ardops_nichollsi_PHYLLOSTOMIDAE_CHIROPTERA,Ardops,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Ardops_nichollsi,2,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arielulus_aureocollaris,Arielulus_aureocollaris_VESPERTILIONIDAE_CHIROPTERA,Arielulus,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Arielulus_aureocollaris,2,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arielulus_circumdatus,Arielulus_circumdatus_VESPERTILIONIDAE_CHIROPTERA,Arielulus,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Arielulus_circumdatus,1,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arielulus_cuprosus,Arielulus_cuprosus_VESPERTILIONIDAE_CHIROPTERA,Arielulus,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Arielulus_cuprosus,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arielulus_societatis,Arielulus_societatis_VESPERTILIONIDAE_CHIROPTERA,Arielulus,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Arielulus_societatis,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arielulus_torquatus,Arielulus_torquatus_VESPERTILIONIDAE_CHIROPTERA,Arielulus,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Arielulus_torquatus,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariteus_flavescens,Ariteus_flavescens_PHYLLOSTOMIDAE_CHIROPTERA,Ariteus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Ariteus_flavescens,3,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_amplus,Artibeus_amplus_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_amplus,2,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_concolor,Artibeus_concolor_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_concolor,6,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_fimbriatus,Artibeus_fimbriatus_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_fimbriatus,2,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_fraterculus,Artibeus_fraterculus_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_fraterculus,2,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_hirsutus,Artibeus_hirsutus_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_hirsutus,2,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_inopinatus,Artibeus_inopinatus_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_inopinatus,1,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_jamaicensis,Artibeus_jamaicensis_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_jamaicensis,29,0,sampled,PC16_PhyllostomidRelated,Chiroptera,Phyllostomidae,42.17279,1.016,0.6390319,15,1,6.4,0,neither
Artibeus_lituratus,Artibeus_lituratus_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_lituratus,7,0,sampled,PC16_PhyllostomidRelated,Chiroptera,Phyllostomidae,60.53549,1.1415,0.6390319,15,1,6.1,1,dweller
Artibeus_obscurus,Artibeus_obscurus_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Artibeus_obscurus,4,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_planirostris,Artibeus_planirostris_PHYLLOSTOMIDAE_CHIROPTERA,Artibeus,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,NA,3,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asellia_arabica,Asellia_arabica_HIPPOSIDERIDAE_CHIROPTERA,Asellia,HIPPOSIDERIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,NA,0,0,imputed,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
